Statei,Action,Staten,xcmi,ycmi,xcmn,ycmn,thetai,thetan
0,0,4,2.2500000000e+02,2.2500000000e+02,2.2497810943e+02,2.2491527903e+02,0.0000000000e+00,-2.7580679274e-01
4,1,6,2.2497810943e+02,2.2491527903e+02,2.2493085429e+02,2.2480129229e+02,-2.7580679274e-01,-4.4073926588e-01
6,0,2,2.2493085429e+02,2.2480129229e+02,2.2495749568e+02,2.2488480596e+02,-4.4073926588e-01,-1.6479136593e-01
2,1,0,2.2495749568e+02,2.2488480596e+02,2.2498487049e+02,2.2500418950e+02,-1.6479136593e-01,1.0566188000e-04
0,1,2,2.2498487049e+02,2.2500418950e+02,2.2495752813e+02,2.2488468631e+02,1.0566188000e-04,-1.6486927736e-01
2,2,3,2.2495752813e+02,2.2488468631e+02,2.2494401550e+02,2.2481625891e+02,-1.6486927736e-01,-2.2256793223e-01
3,0,7,2.2494401550e+02,2.2481625891e+02,2.2492286019e+02,2.2473127669e+02,-2.2256793223e-01,-4.9832472758e-01
7,2,6,2.2492286019e+02,2.2473127669e+02,2.2494289876e+02,2.2479803015e+02,-4.9832472758e-01,-4.4054648915e-01
6,0,2,2.2494289876e+02,2.2479803015e+02,2.2496952405e+02,2.2488154895e+02,-4.4054648915e-01,-1.6459858920e-01
2,0,6,2.2496952405e+02,2.2488154895e+02,2.2494299397e+02,2.2479796797e+02,-1.6459858920e-01,-4.4057907291e-01
6,0,2,2.2494299397e+02,2.2479796797e+02,2.2496962198e+02,2.2488148590e+02,-4.4057907291e-01,-1.6463117296e-01
2,2,3,2.2496962198e+02,2.2488148590e+02,2.2495612564e+02,2.2481305529e+02,-1.6463117296e-01,-2.2232982783e-01
3,1,1,2.2495612564e+02,2.2481305529e+02,2.2496910129e+02,2.2493572176e+02,-2.2232982783e-01,-5.7397774128e-02
1,2,0,2.2496910129e+02,2.2493572176e+02,2.2498333433e+02,2.2500408854e+02,-5.7397774128e-02,4.1020762000e-04
0,2,1,2.2498333433e+02,2.2500408854e+02,2.2496899075e+02,2.2493560850e+02,4.1020762000e-04,-5.7469600395e-02
1,0,5,2.2496899075e+02,2.2493560850e+02,2.2495246982e+02,2.2484942777e+02,-5.7469600395e-02,-3.3343936779e-01
5,1,7,2.2495246982e+02,2.2484942777e+02,2.2491940219e+02,2.2473152011e+02,-3.3343936779e-01,-4.9829933621e-01
7,1,5,2.2491940219e+02,2.2473152011e+02,2.2495241941e+02,2.2484929498e+02,-4.9829933621e-01,-3.3344077287e-01
5,1,7,2.2495241941e+02,2.2484929498e+02,2.2491935162e+02,2.2473138736e+02,-3.3344077287e-01,-4.9830074129e-01
7,1,5,2.2491935162e+02,2.2473138736e+02,2.2495236901e+02,2.2484916219e+02,-4.9830074129e-01,-3.3344217794e-01
5,0,1,2.2495236901e+02,2.2484916219e+02,2.2496901474e+02,2.2493521604e+02,-3.3344217794e-01,-5.7499304445e-02
1,1,3,2.2496901474e+02,2.2493521604e+02,2.2495608824e+02,2.2481247939e+02,-5.7499304445e-02,-2.2241108682e-01
3,0,7,2.2495608824e+02,2.2481247939e+02,2.2493494626e+02,2.2472749385e+02,-2.2241108682e-01,-4.9816788216e-01
7,0,3,2.2493494626e+02,2.2472749385e+02,2.2495616649e+02,2.2481225941e+02,-4.9816788216e-01,-2.2241440592e-01
