Statei,Action,Staten,xcmi,ycmi,xcmn,ycmn,thetai,thetan
13,2,9,2.2515532616e+02,2.2321175706e+02,2.2576684564e+02,2.2385926558e+02,-8.1518261871e-01,-6.0855644960e-02
9,3,11,2.2576684564e+02,2.2385926558e+02,2.2549182947e+02,2.2318402540e+02,-6.0855644960e-02,-4.7927354969e-01
11,2,15,2.2549182947e+02,2.2318402540e+02,2.2512043423e+02,2.2230640453e+02,-4.7927354969e-01,-1.1700008260e+00
15,1,7,2.2512043423e+02,2.2230640453e+02,2.2539700695e+02,2.2306426998e+02,-1.1700008260e+00,-1.6228364751e-01
7,2,3,2.2539700695e+02,2.2306426998e+02,2.2541591070e+02,2.2404791161e+02,-1.6228364751e-01,5.9482474222e-01
3,3,1,2.2541591070e+02,2.2404791161e+02,2.2563721685e+02,2.2480257646e+02,5.9482474222e-01,1.0955453360e+00
1,3,3,2.2563721685e+02,2.2480257646e+02,2.2541651229e+02,2.2404933267e+02,1.0955453360e+00,5.9470244441e-01
3,3,1,2.2541651229e+02,2.2404933267e+02,2.2563791074e+02,2.2480397045e+02,5.9470244441e-01,1.0954230382e+00
1,2,5,2.2563791074e+02,2.2480397045e+02,2.2534047593e+02,2.2382915420e+02,1.0954230382e+00,2.7883285557e-01
5,3,7,2.2534047593e+02,2.2382915420e+02,2.2524549046e+02,2.2306429609e+02,2.7883285557e-01,-1.6206994697e-01
7,4,6,2.2524549046e+02,2.2306429609e+02,2.2532896332e+02,2.2344110970e+02,-1.6206994697e-01,-8.8585608300e-03
6,1,14,2.2532896332e+02,2.2344110970e+02,2.2493395204e+02,2.2264642240e+02,-8.8585608300e-03,-1.0792819029e+00
14,2,10,2.2493395204e+02,2.2264642240e+02,2.2558547445e+02,2.2339019427e+02,-1.0792819029e+00,-3.2585240753e-01
10,3,8,2.2558547445e+02,2.2339019427e+02,2.2622486639e+02,2.2377051527e+02,-3.2585240753e-01,7.2319894940e-02
8,1,0,2.2622486639e+02,2.2377051527e+02,2.2658853749e+02,2.2445403256e+02,7.2319894940e-02,1.1128598175e+00
0,2,4,2.2658853749e+02,2.2445403256e+02,2.2606946407e+02,2.2376617576e+02,1.1128598175e+00,3.6383036566e-01
4,1,12,2.2606946407e+02,2.2376617576e+02,2.2564653237e+02,2.2321979855e+02,3.6383036566e-01,-7.0976377964e-01
12,4,13,2.2564653237e+02,2.2321979855e+02,2.2535350962e+02,2.2303803220e+02,-7.0976377964e-01,-8.6763791806e-01
13,2,9,2.2535350962e+02,2.2303803220e+02,2.2599813766e+02,2.2365258736e+02,-8.6763791806e-01,-1.1331094431e-01
9,3,11,2.2599813766e+02,2.2365258736e+02,2.2568809608e+02,2.2299269539e+02,-1.1331094431e-01,-5.3172884904e-01
11,0,27,2.2568809608e+02,2.2299269539e+02,2.2535994233e+02,2.2276052203e+02,-5.3172884904e-01,-1.9069653093e+00
27,3,25,2.2535994233e+02,2.2276052203e+02,2.2577994049e+02,2.2321018233e+02,-1.9069653093e+00,-1.4650891696e+00
25,2,29,2.2577994049e+02,2.2321018233e+02,2.2491443163e+02,2.2291976828e+02,-1.4650891696e+00,-2.2762725128e+00
29,3,31,2.2491443163e+02,2.2291976828e+02,2.2440296488e+02,2.2243002402e+02,-2.2762725128e+00,-2.7352930639e+00
31,0,15,2.2440296488e+02,2.2243002402e+02,2.2481947648e+02,2.2253321556e+02,-2.7352930639e+00,-1.3897445548e+00
15,0,31,2.2481947648e+02,2.2253321556e+02,2.2440166701e+02,2.2242932918e+02,-1.3897445548e+00,-2.7350804123e+00
31,0,15,2.2440166701e+02,2.2242932918e+02,2.2481815666e+02,2.2253260930e+02,-2.7350804123e+00,-1.3895319032e+00
