Statei,Action,Staten,xcmi,ycmi,xcmn,ycmn,thetai,thetan
4,0,0,2.2500000000e+02,2.2500000000e+02,2.2495102447e+02,2.2540547065e+02,0.0000000000e+00,1.2087814986e+00
0,1,2,2.2495102447e+02,2.2540547065e+02,2.2505688018e+02,2.2484345605e+02,1.2087814986e+00,4.7114858624e-01
2,0,6,2.2505688018e+02,2.2484345605e+02,2.2500410640e+02,2.2442081545e+02,4.7114858624e-01,-7.5864114956e-01
6,1,4,2.2500410640e+02,2.2442081545e+02,2.2525052999e+02,2.2499472196e+02,-7.5864114956e-01,-1.7826631535e-02
4,1,6,2.2525052999e+02,2.2499472196e+02,2.2500381661e+02,2.2442135744e+02,-1.7826631535e-02,-7.5864114956e-01
6,2,7,2.2500381661e+02,2.2442135744e+02,2.2498984872e+02,2.2407027730e+02,-7.5864114956e-01,-1.0384976756e+00
7,0,3,2.2498984872e+02,2.2407027730e+02,2.2496972291e+02,2.2447856087e+02,-1.0384976756e+00,1.7028665581e-01
3,2,2,2.2496972291e+02,2.2447856087e+02,2.2488371706e+02,2.2481108929e+02,1.7028665581e-01,4.3768797524e-01
2,0,6,2.2488371706e+02,2.2481108929e+02,2.2481683365e+02,2.2439045078e+02,4.3768797524e-01,-7.9210176056e-01
6,0,2,2.2481683365e+02,2.2439045078e+02,2.2488420824e+02,2.2481133189e+02,-7.9210176056e-01,4.3768797524e-01
2,0,6,2.2488420824e+02,2.2481133189e+02,2.2481732483e+02,2.2439069337e+02,4.3768797524e-01,-7.9210176056e-01
6,2,7,2.2481732483e+02,2.2439069337e+02,2.2479161960e+02,2.2404027703e+02,-7.9210176056e-01,-1.0719582866e+00
7,1,5,2.2479161960e+02,2.2404027703e+02,2.2482023095e+02,2.2461116101e+02,-1.0719582866e+00,-3.3430213150e-01
5,2,4,2.2482023095e+02,2.2461116101e+02,2.2487101635e+02,2.2495066594e+02,-3.3430213150e-01,-6.6874516465e-02
4,2,5,2.2487101635e+02,2.2495066594e+02,2.2481974286e+02,2.2461109989e+02,-6.6874516465e-02,-3.3430213150e-01
5,0,1,2.2481974286e+02,2.2461109989e+02,2.2470970095e+02,2.2502215810e+02,-3.3430213150e-01,8.9553281705e-01
1,1,3,2.2470970095e+02,2.2502215810e+02,2.2503201615e+02,2.2448774391e+02,8.9553281705e-01,1.5485634150e-01
3,1,1,2.2503201615e+02,2.2448774391e+02,2.2470944984e+02,2.2502194235e+02,1.5485634150e-01,8.9553281705e-01
1,1,3,2.2470944984e+02,2.2502194235e+02,2.2503176504e+02,2.2448752816e+02,8.9553281705e-01,1.5485634150e-01
3,1,1,2.2503176504e+02,2.2448752816e+02,2.2470919872e+02,2.2502172660e+02,1.5485634150e-01,8.9553281705e-01
1,0,5,2.2470919872e+02,2.2502172660e+02,2.2481961853e+02,2.2460998140e+02,8.9553281705e-01,-3.3430213150e-01
5,1,7,2.2481961853e+02,2.2460998140e+02,2.2479055790e+02,2.2403976200e+02,-3.3430213150e-01,-1.0719582866e+00
7,0,3,2.2479055790e+02,2.2403976200e+02,2.2478410222e+02,2.2444849033e+02,-1.0719582866e+00,1.3682604480e-01
3,0,7,2.2478410222e+02,2.2444849033e+02,2.2479063531e+02,2.2404005026e+02,1.3682604480e-01,-1.0719582866e+00
7,1,5,2.2479063531e+02,2.2404005026e+02,2.2481924667e+02,2.2461093423e+02,-1.0719582866e+00,-3.3430213150e-01
5,2,4,2.2481924667e+02,2.2461093423e+02,2.2487003206e+02,2.2495043916e+02,-3.3430213150e-01,-6.6874516465e-02
4,0,0,2.2487003206e+02,2.2495043916e+02,2.2484826145e+02,2.2535827625e+02,-6.6874516465e-02,1.1419069821e+00
0,2,1,2.2484826145e+02,2.2535827625e+02,2.2489759568e+02,2.2501078167e+02,1.1419069821e+00,8.6197637144e-01
1,0,5,2.2489759568e+02,2.2501078167e+02,2.2499413921e+02,2.2459556367e+02,8.6197637144e-01,-3.6785857711e-01
5,1,7,2.2499413921e+02,2.2459556367e+02,2.2494596399e+02,2.2402664027e+02,-3.6785857711e-01,-1.1055147322e+00
7,1,5,2.2494596399e+02,2.2402664027e+02,2.2499371248e+02,2.2459624294e+02,-1.1055147322e+00,-3.6785857711e-01
5,2,4,2.2499371248e+02,2.2459624294e+02,2.2505585972e+02,2.2493385288e+02,-3.6785857711e-01,-1.0043096207e-01
4,0,0,2.2505585972e+02,2.2493385288e+02,2.2504778436e+02,2.2534219079e+02,-1.0043096207e-01,1.1083505365e+00
0,1,2,2.2504778436e+02,2.2534219079e+02,2.2509675785e+02,2.2477239482e+02,1.1083505365e+00,3.7071762417e-01
2,1,0,2.2509675785e+02,2.2477239482e+02,2.2504675438e+02,2.2534128987e+02,3.7071762417e-01,1.1083505365e+00
0,1,2,2.2504675438e+02,2.2534128987e+02,2.2509572787e+02,2.2477149390e+02,1.1083505365e+00,3.7071762417e-01
2,0,6,2.2509572787e+02,2.2477149390e+02,2.2500084513e+02,2.2435627418e+02,3.7071762417e-01,-8.5907211163e-01
6,2,7,2.2500084513e+02,2.2435627418e+02,2.2495174755e+02,2.2400836356e+02,-8.5907211163e-01,-1.1389286377e+00
7,0,3,2.2495174755e+02,2.2400836356e+02,2.2497265857e+02,2.2441660768e+02,-1.1389286377e+00,6.9855693730e-02
3,2,2,2.2497265857e+02,2.2441660768e+02,2.2492042614e+02,2.2475608364e+02,6.9855693730e-02,3.3725701316e-01
2,2,3,2.2492042614e+02,2.2475608364e+02,2.2497221066e+02,2.2441672222e+02,3.3725701316e-01,6.9855693730e-02
3,0,7,2.2497221066e+02,2.2441672222e+02,2.2495139617e+02,2.2400876053e+02,6.9855693730e-02,-1.1389286377e+00
7,2,6,2.2495139617e+02,2.2400876053e+02,2.2499998834e+02,2.2435625242e+02,-1.1389286377e+00,-8.5907211163e-01
6,0,2,2.2499998834e+02,2.2435625242e+02,2.2509537739e+02,2.2477168133e+02,-8.5907211163e-01,3.7071762417e-01
2,0,6,2.2509537739e+02,2.2477168133e+02,2.2500049465e+02,2.2435646160e+02,3.7071762417e-01,-8.5907211163e-01
6,0,2,2.2500049465e+02,2.2435646160e+02,2.2509588370e+02,2.2477189051e+02,-8.5907211163e-01,3.7071762417e-01
2,1,0,2.2509588370e+02,2.2477189051e+02,2.2504588024e+02,2.2534078556e+02,3.7071762417e-01,1.1083505365e+00
0,1,2,2.2504588024e+02,2.2534078556e+02,2.2509485372e+02,2.2477098959e+02,1.1083505365e+00,3.7071762417e-01
2,2,3,2.2509485372e+02,2.2477098959e+02,2.2515796238e+02,2.2443355055e+02,3.7071762417e-01,1.0331630474e-01
3,0,7,2.2515796238e+02,2.2443355055e+02,2.2515080764e+02,2.2402512088e+02,1.0331630474e-01,-1.1054680267e+00
7,0,3,2.2515080764e+02,2.2402512088e+02,2.2515804941e+02,2.2443383605e+02,-1.1054680267e+00,1.0331630474e-01
