Statei,Action,Staten,xcmi,ycmi,xcmn,ycmn,thetai,thetan
14,3,15,2.2427134413e+02,2.3147234178e+02,2.2392144608e+02,2.3129471306e+02,-2.6133582033e+00,-2.8551086521e+00
15,1,11,2.2392144608e+02,2.3129471306e+02,2.2467594248e+02,2.3145645661e+02,-2.8551086521e+00,-1.8349310368e+00
11,0,3,2.2467594248e+02,2.3145645661e+02,2.2502756639e+02,2.3176644650e+02,-1.8349310368e+00,-3.9208415650e-01
3,0,11,2.2502756639e+02,2.3176644650e+02,2.2467592434e+02,2.3145589025e+02,-3.9208415650e-01,-1.8349286881e+00
11,0,3,2.2467592434e+02,2.3145589025e+02,2.2502754752e+02,2.3176588096e+02,-1.8349286881e+00,-3.9208180780e-01
3,2,1,2.2502754752e+02,2.3176588096e+02,2.2553833223e+02,2.3243160186e+02,-3.9208180780e-01,2.6863610890e-01
1,2,3,2.2553833223e+02,2.3243160186e+02,2.2502761441e+02,2.3176650059e+02,2.6863610890e-01,-3.9203638085e-01
3,0,11,2.2502761441e+02,2.3176650059e+02,2.2467598721e+02,2.3145592754e+02,-3.9203638085e-01,-1.8348809125e+00
11,2,9,2.2467598721e+02,2.3145592754e+02,2.2529024031e+02,2.3187167253e+02,-1.8348809125e+00,-1.2356173900e+00
9,3,8,2.2529024031e+02,2.3187167253e+02,2.2573521282e+02,2.3191361694e+02,-1.2356173900e+00,-1.0242879084e+00
8,2,10,2.2573521282e+02,2.3191361694e+02,2.2493539500e+02,2.3190328847e+02,-1.0242879084e+00,-1.6100564784e+00
10,0,2,2.2493539500e+02,2.3190328847e+02,2.2534678932e+02,2.3217284315e+02,-1.6100564784e+00,-1.3820847953e-01
2,0,10,2.2534678932e+02,2.3217284315e+02,2.2493427251e+02,2.3190235920e+02,-1.3820847953e-01,-1.6100084267e+00
10,2,8,2.2493427251e+02,2.3190235920e+02,2.2573400766e+02,2.3191218898e+02,-1.6100084267e+00,-1.0242765380e+00
