Statei,Action,Staten,xcmi,ycmi,xcmn,ycmn,thetai,thetan
15,2,11,2.2036257314e+02,2.2229899563e+02,2.2007399706e+02,2.2285071331e+02,-1.2421969352e-01,3.6170951094e-01
11,2,15,2.2007399706e+02,2.2285071331e+02,2.2036236607e+02,2.2229973150e+02,3.6170951094e-01,-1.2421512593e-01
15,0,31,2.2036236607e+02,2.2229973150e+02,2.2034821414e+02,2.2201348626e+02,-1.2421512593e-01,-1.0401150365e+00
31,1,23,2.2034821414e+02,2.2201348626e+02,2.2031152538e+02,2.2254244634e+02,-1.0401150365e+00,-3.2440623624e-01
23,1,31,2.2031152538e+02,2.2254244634e+02,2.2034698503e+02,2.2201345045e+02,-3.2440623624e-01,-1.0401868786e+00
31,0,15,2.2034698503e+02,2.2201345045e+02,2.2036054599e+02,2.2230006329e+02,-1.0401868786e+00,-1.2433420727e-01
15,1,7,2.2036054599e+02,2.2230006329e+02,2.2006641096e+02,2.2276068425e+02,-1.2433420727e-01,5.7829985220e-01
7,0,23,2.2006641096e+02,2.2276068425e+02,2.2019609675e+02,2.2252178440e+02,5.7829985220e-01,-3.3333886860e-01
23,1,31,2.2019609675e+02,2.2252178440e+02,2.2022682972e+02,2.2199249287e+02,-3.3333886860e-01,-1.0491195110e+00
31,0,15,2.2022682972e+02,2.2199249287e+02,2.2024295031e+02,2.2227897314e+02,-1.0491195110e+00,-1.3326683963e-01
15,4,14,2.2024295031e+02,2.2227897314e+02,2.2013051823e+02,2.2249778297e+02,-1.3326683963e-01,-3.9420174164e-02
14,0,30,2.2013051823e+02,2.2249778297e+02,2.2008687928e+02,2.2218184718e+02,-3.9420174164e-02,-9.6422688736e-01
30,0,14,2.2008687928e+02,2.2218184718e+02,2.2013015253e+02,2.2249858086e+02,-9.6422688736e-01,-3.9536780684e-02
14,1,6,2.2013015253e+02,2.2249858086e+02,2.1990236387e+02,2.2300528230e+02,-3.9536780684e-02,6.8191343057e-01
6,1,14,2.1990236387e+02,2.2300528230e+02,2.2013130194e+02,2.2249909432e+02,6.8191343057e-01,-3.9458174064e-02
14,0,30,2.2013130194e+02,2.2249909432e+02,2.2008765098e+02,2.2218316019e+02,-3.9458174064e-02,-9.6426488726e-01
30,0,14,2.2008765098e+02,2.2218316019e+02,2.2013093627e+02,2.2249989222e+02,-9.6426488726e-01,-3.9574780584e-02
14,1,6,2.2013093627e+02,2.2249989222e+02,2.1990316687e+02,2.2300660232e+02,-3.9574780584e-02,6.8187543067e-01
6,2,2,2.1990316687e+02,2.2300660232e+02,2.1955988420e+02,2.2350709220e+02,6.8187543067e-01,1.2025648783e+00
2,3,0,2.1955988420e+02,2.2350709220e+02,2.1944636940e+02,2.2397881056e+02,1.2025648783e+00,1.4934346793e+00
0,4,1,2.1944636940e+02,2.2397881056e+02,2.1946711395e+02,2.2375619365e+02,1.4934346793e+00,1.3929618751e+00
1,0,17,2.1946711395e+02,2.2375619365e+02,2.1963788347e+02,2.2348619585e+02,1.3929618751e+00,4.6824179153e-01
17,1,25,2.1963788347e+02,2.2348619585e+02,2.1964119381e+02,2.2293063410e+02,4.6824179153e-01,-2.5318038658e-01
25,3,27,2.1964119381e+02,2.2293063410e+02,2.1972910864e+02,2.2250148372e+02,-2.5318038658e-01,-5.4166947742e-01
27,0,11,2.1972910864e+02,2.2250148372e+02,2.1970074464e+02,2.2277364124e+02,-5.4166947742e-01,3.8061453747e-01
11,1,3,2.1970074464e+02,2.2277364124e+02,2.1932114618e+02,2.2319435503e+02,3.8061453747e-01,1.1034680394e+00
3,1,11,2.1932114618e+02,2.2319435503e+02,2.1970105702e+02,2.2277226207e+02,1.1034680394e+00,3.8062500890e-01
11,2,15,2.1970105702e+02,2.2277226207e+02,2.1999979592e+02,2.2222683314e+02,3.8062500890e-01,-1.0529962797e-01
15,0,31,2.1999979592e+02,2.2222683314e+02,2.1999106067e+02,2.2194037144e+02,-1.0529962797e-01,-1.0211995385e+00
31,3,29,2.1999106067e+02,2.2194037144e+02,2.1987765764e+02,2.2241108879e+02,-1.0211995385e+00,-7.3034580410e-01
29,4,28,2.1987765764e+02,2.2241108879e+02,2.1989502508e+02,2.2262288411e+02,-7.3034580410e-01,-6.2295038257e-01
28,2,24,2.1989502508e+02,2.2262288411e+02,2.2012236902e+02,2.2323550017e+02,-6.2295038257e-01,-1.1840769867e-01
24,4,25,2.2012236902e+02,2.2323550017e+02,2.2008236360e+02,2.2300178739e+02,-1.1840769867e-01,-2.1637948658e-01
25,0,9,2.2008236360e+02,2.2300178739e+02,2.2006486563e+02,2.2328792406e+02,-2.1637948658e-01,7.0410476916e-01
9,3,11,2.2006486563e+02,2.2328792406e+02,2.2029850081e+02,2.2287302355e+02,7.0410476916e-01,4.2284973470e-01
11,3,9,2.2029850081e+02,2.2287302355e+02,2.2006472049e+02,2.2328762784e+02,4.2284973470e-01,7.0409983154e-01
9,3,11,2.2006472049e+02,2.2328762784e+02,2.2029835361e+02,2.2287272617e+02,7.0409983154e-01,4.2284479708e-01
11,1,3,2.2029835361e+02,2.2287272617e+02,2.1990133202e+02,2.2327703909e+02,4.2284479708e-01,1.1456982990e+00
3,3,1,2.1990133202e+02,2.2327703909e+02,2.1957338302e+02,2.2367963229e+02,1.1456982990e+00,1.4513578783e+00
1,1,9,2.1957338302e+02,2.2367963229e+02,2.1989755772e+02,2.2319261540e+02,1.4513578783e+00,7.1893195880e-01
9,3,11,2.1989755772e+02,2.2319261540e+02,2.2013731880e+02,2.2278122452e+02,7.1893195880e-01,4.3767692434e-01
11,4,10,2.2013731880e+02,2.2278122452e+02,2.2002876448e+02,2.2297187437e+02,4.3767692434e-01,5.3366996344e-01
10,4,11,2.2002876448e+02,2.2297187437e+02,2.2013704894e+02,2.2278096778e+02,5.3366996344e-01,4.3766429277e-01
11,3,9,2.2013704894e+02,2.2278096778e+02,2.1989715232e+02,2.2319206335e+02,4.3766429277e-01,7.1891438961e-01
9,3,11,2.1989715232e+02,2.2319206335e+02,2.2013690617e+02,2.2278066825e+02,7.1891438961e-01,4.3765935515e-01
11,1,3,2.2013690617e+02,2.2278066825e+02,2.1973393864e+02,2.2317905532e+02,4.3765935515e-01,1.1605128571e+00
3,1,11,2.1973393864e+02,2.2317905532e+02,2.2013729667e+02,2.2277930913e+02,1.1605128571e+00,4.3766982658e-01
11,1,3,2.2013729667e+02,2.2277930913e+02,2.1973432498e+02,2.2317769198e+02,4.3766982658e-01,1.1605233285e+00
3,0,19,2.1973432498e+02,2.2317769198e+02,2.1994254801e+02,2.2294246794e+02,1.1605233285e+00,2.3828952415e-01
19,1,27,2.1994254801e+02,2.2294246794e+02,2.2004741805e+02,2.2246599780e+02,2.3828952415e-01,-4.8390365381e-01
27,1,19,2.2004741805e+02,2.2246599780e+02,2.1994232770e+02,2.2294361659e+02,-4.8390365381e-01,2.3833957889e-01
19,0,3,2.1994232770e+02,2.2294361659e+02,2.1973448759e+02,2.2317785385e+02,2.3833957889e-01,1.1605496574e+00
3,3,1,2.1973448759e+02,2.2317785385e+02,2.1940059592e+02,2.2357553234e+02,1.1605496574e+00,1.4662092366e+00
1,2,5,2.1940059592e+02,2.2357553234e+02,2.1978723553e+02,2.2305292936e+02,1.4662092366e+00,9.4587152157e-01
5,0,21,2.1978723553e+02,2.2305292936e+02,2.1993260697e+02,2.2280249786e+02,9.4587152157e-01,2.0984711159e-02
21,1,29,2.1993260697e+02,2.2280249786e+02,2.1989700042e+02,2.2225017471e+02,2.0984711159e-02,-7.1381392322e-01
29,0,13,2.1989700042e+02,2.2225017471e+02,2.1991576154e+02,2.2255986605e+02,-7.1381392322e-01,2.1313884790e-01
13,4,12,2.1991576154e+02,2.2255986605e+02,2.1989881112e+02,2.2277903271e+02,2.1313884790e-01,3.1264715079e-01
12,4,13,2.1989881112e+02,2.2277903271e+02,2.1991554526e+02,2.2255972098e+02,3.1264715079e-01,2.1312060621e-01
13,3,15,2.1991554526e+02,2.2255972098e+02,2.2016121068e+02,2.2210408057e+02,2.1312060621e-01,-6.3091579056e-02
15,1,7,2.2016121068e+02,2.2210408057e+02,2.1983943508e+02,2.2254583564e+02,-6.3091579056e-02,6.3954248041e-01
7,4,6,2.1983943508e+02,2.2254583564e+02,2.1968852049e+02,2.2272890401e+02,6.3954248041e-01,7.3755327674e-01
6,0,22,2.1968852049e+02,2.2272890401e+02,2.1981584640e+02,2.2247194722e+02,7.3755327674e-01,-1.8290319151e-01
22,1,30,2.1981584640e+02,2.2247194722e+02,2.1978459197e+02,2.2188855446e+02,-1.8290319151e-01,-9.1549589316e-01
30,3,28,2.1978459197e+02,2.2188855446e+02,2.1986060039e+02,2.2240207365e+02,-9.1549589316e-01,-6.0994826807e-01
28,1,20,2.1986060039e+02,2.2240207365e+02,2.1999515983e+02,2.2295413314e+02,-6.0994826807e-01,1.1286042980e-01
20,1,28,2.1999515983e+02,2.2295413314e+02,2.1986011980e+02,2.2240381785e+02,1.1286042980e-01,-6.1003693760e-01
28,0,12,2.1986011980e+02,2.2240381785e+02,2.1991447407e+02,2.2271289063e+02,-6.1003693760e-01,3.1226040826e-01
12,1,4,2.1991447407e+02,2.2271289063e+02,2.1975461723e+02,2.2317375935e+02,3.1226040826e-01,1.0345257128e+00
4,0,20,2.1975461723e+02,2.2317375935e+02,2.1985850594e+02,2.2292070815e+02,1.0345257128e+00,1.1220525424e-01
20,0,4,2.1985850594e+02,2.2292070815e+02,2.1975533340e+02,2.2317312165e+02,1.1220525424e-01,1.0345214752e+00
4,1,12,2.1975533340e+02,2.2317312165e+02,2.1991554352e+02,2.2271095058e+02,1.0345214752e+00,3.1227524648e-01
12,3,14,2.1991554352e+02,2.2271095058e+02,2.1994243942e+02,2.2220315470e+02,3.1227524648e-01,2.4769597928e-02
14,3,12,2.1994243942e+02,2.2220315470e+02,2.1991535513e+02,2.2271104043e+02,2.4769597928e-02,3.1227540732e-01
12,2,8,2.1991535513e+02,2.2271104043e+02,2.1994405168e+02,2.2329414652e+02,3.1227540732e-01,7.9955662478e-01
8,4,9,2.1994405168e+02,2.2329414652e+02,2.1994282644e+02,2.2305992118e+02,7.9955662478e-01,7.0640276789e-01
9,1,1,2.1994282644e+02,2.2305992118e+02,2.1962384522e+02,2.2354956002e+02,7.0640276789e-01,1.4389866681e+00
1,1,9,2.1962384522e+02,2.2354956002e+02,2.1994197028e+02,2.2305857006e+02,1.4389866681e+00,7.0656074865e-01
9,0,25,2.1994197028e+02,2.2305857006e+02,2.1996085925e+02,2.2277257385e+02,7.0656074865e-01,-2.1390280911e-01
25,3,27,2.1996085925e+02,2.2277257385e+02,2.2006555792e+02,2.2234720665e+02,-2.1390280911e-01,-5.0239189995e-01
27,1,19,2.2006555792e+02,2.2234720665e+02,2.1996931535e+02,2.2282668664e+02,-5.0239189995e-01,2.1985133275e-01
19,3,17,2.1996931535e+02,2.2282668664e+02,2.1973496277e+02,2.2327752427e+02,2.1985133275e-01,5.0728718487e-01
17,2,21,2.1973496277e+02,2.2327752427e+02,2.1989737366e+02,2.2268196583e+02,5.0728718487e-01,3.8968780520e-03
21,1,29,2.1989737366e+02,2.2268196583e+02,2.1985233476e+02,2.2213033173e+02,3.8968780520e-03,-7.3090175633e-01
29,0,13,2.1985233476e+02,2.2213033173e+02,2.1987638483e+02,2.2243965728e+02,-7.3090175633e-01,1.9605101479e-01
13,3,15,2.1987638483e+02,2.2243965728e+02,2.2011423725e+02,2.2197989005e+02,1.9605101479e-01,-8.0161170478e-02
15,4,14,2.2011423725e+02,2.2197989005e+02,2.1999034910e+02,2.2219242343e+02,-8.0161170478e-02,1.3685494983e-02
14,3,12,2.1999034910e+02,2.2219242343e+02,2.1996889582e+02,2.2270057816e+02,1.3685494983e-02,3.0119130437e-01
12,3,14,2.1996889582e+02,2.2270057816e+02,2.1999016180e+02,2.2219251537e+02,3.0119130437e-01,1.3685655823e-02
14,4,15,2.1999016180e+02,2.2219251537e+02,2.2011364653e+02,2.2197976973e+02,1.3685655823e-02,-8.0178756222e-02
15,3,13,2.2011364653e+02,2.2197976973e+02,2.1987533432e+02,2.2243971932e+02,-8.0178756222e-02,1.9595200461e-01
13,2,9,2.1987533432e+02,2.2243971932e+02,2.1973891852e+02,2.2300932672e+02,1.9595200461e-01,6.9954782721e-01
9,1,1,2.1973891852e+02,2.2300932672e+02,2.1942330122e+02,2.2350114063e+02,6.9954782721e-01,1.4321317274e+00
1,1,9,2.1942330122e+02,2.2350114063e+02,2.1973805312e+02,2.2300798149e+02,1.4321317274e+00,6.9970580797e-01
9,1,1,2.1973805312e+02,2.2300798149e+02,2.1942235812e+02,2.2349974554e+02,6.9970580797e-01,1.4322897082e+00
1,3,3,2.1942235812e+02,2.2349974554e+02,2.1974195520e+02,2.2309101772e+02,1.4322897082e+00,1.1267287857e+00
3,4,2,2.1974195520e+02,2.2309101772e+02,2.1962413061e+02,2.2326814471e+02,1.1267287857e+00,1.2341850916e+00
2,3,0,2.1962413061e+02,2.2326814471e+02,2.1949575921e+02,2.2373603851e+02,1.2341850916e+00,1.5250548926e+00
0,1,8,2.1949575921e+02,2.2373603851e+02,2.1970980158e+02,2.2325113249e+02,1.5250548926e+00,8.0933773264e-01
8,4,9,2.1970980158e+02,2.2325113249e+02,2.1971086735e+02,2.2301690638e+02,8.0933773264e-01,7.1618387575e-01
9,1,1,2.1971086735e+02,2.2301690638e+02,2.1938711225e+02,2.2350340185e+02,7.1618387575e-01,1.4487677760e+00
1,1,9,2.1938711225e+02,2.2350340185e+02,2.1971002445e+02,2.2301554694e+02,1.4487677760e+00,7.1634185651e-01
9,2,13,2.1971002445e+02,2.2301554694e+02,2.1985632212e+02,2.2244830162e+02,7.1634185651e-01,2.1274962939e-01
13,2,9,2.1985632212e+02,2.2244830162e+02,2.1971035797e+02,2.2301553731e+02,2.1274962939e-01,7.1634545199e-01
9,3,11,2.1971035797e+02,2.2301553731e+02,2.1994905418e+02,2.2260352766e+02,7.1634545199e-01,4.3509041753e-01
11,2,15,2.1994905418e+02,2.2260352766e+02,2.2027704241e+02,2.2207517043e+02,4.3509041753e-01,-5.0834219338e-02
15,4,14,2.2027704241e+02,2.2207517043e+02,2.2014697546e+02,2.2228397968e+02,-5.0834219338e-02,4.3012446123e-02
14,0,30,2.2014697546e+02,2.2228397968e+02,2.2012949862e+02,2.2196552349e+02,4.3012446123e-02,-8.8179426708e-01
30,4,31,2.2012949862e+02,2.2196552349e+02,2.2022030101e+02,2.2176071626e+02,-8.8179426708e-01,-9.8230771742e-01
31,1,23,2.2022030101e+02,2.2176071626e+02,2.2015311280e+02,2.2228667308e+02,-9.8230771742e-01,-2.6659891718e-01
23,1,31,2.2015311280e+02,2.2228667308e+02,2.2021907602e+02,2.2176060950e+02,-2.6659891718e-01,-9.8237955957e-01
31,2,27,2.2021907602e+02,2.2176060950e+02,2.2010103012e+02,2.2234524797e+02,-9.8237955957e-01,-4.8016171643e-01
27,1,19,2.2010103012e+02,2.2234524797e+02,2.1999415328e+02,2.2282247017e+02,-4.8016171643e-01,2.4208151627e-01
