Statei,Action,Staten,xcmi,ycmi,xcmn,ycmn,thetai,thetan
10,3,11,2.2443891056e+02,2.2522523636e+02,2.2446569415e+02,2.2496898176e+02,-2.9632083453e-01,-4.4325463226e-01
11,1,15,2.2446569415e+02,2.2496898176e+02,2.2440906649e+02,2.2442136485e+02,-4.4325463226e-01,-1.1736089905e+00
15,0,7,2.2440906649e+02,2.2442136485e+02,2.2446173388e+02,2.2474754080e+02,-1.1736089905e+00,-1.5375133071e-01
7,0,15,2.2446173388e+02,2.2474754080e+02,2.2440874092e+02,2.2442167231e+02,-1.5375133071e-01,-1.1735597735e+00
15,0,7,2.2440874092e+02,2.2442167231e+02,2.2446139226e+02,2.2474785085e+02,-1.1735597735e+00,-1.5370211371e-01
7,2,5,2.2446139226e+02,2.2474785085e+02,2.2431518476e+02,2.2526774837e+02,-1.5370211371e-01,2.6474261595e-01
5,2,7,2.2431518476e+02,2.2526774837e+02,2.2446095858e+02,2.2474828963e+02,2.6474261595e-01,-1.5362958141e-01
7,0,15,2.2446095858e+02,2.2474828963e+02,2.2440800529e+02,2.2442241468e+02,-1.5362958141e-01,-1.1734380242e+00
15,2,13,2.2440800529e+02,2.2442241468e+02,2.2444953819e+02,2.2494216402e+02,-1.1734380242e+00,-7.4025693129e-01
13,3,12,2.2444953819e+02,2.2494216402e+02,2.2453382944e+02,2.2518492090e+02,-7.4025693129e-01,-5.8383276436e-01
12,2,14,2.2453382944e+02,2.2518492090e+02,2.2426200322e+02,2.2468525223e+02,-5.8383276436e-01,-1.0284293646e+00
14,0,6,2.2426200322e+02,2.2468525223e+02,2.2436268914e+02,2.2503348366e+02,-1.0284293646e+00,4.4290362500e-03
6,0,14,2.2436268914e+02,2.2503348366e+02,2.2426180884e+02,2.2468590352e+02,4.4290362500e-03,-1.0284171205e+00
14,2,12,2.2426180884e+02,2.2468590352e+02,2.2453309892e+02,2.2518559867e+02,-1.0284171205e+00,-5.8394222755e-01
12,1,8,2.2453309892e+02,2.2518559867e+02,2.2479509200e+02,2.2570955187e+02,-5.8394222755e-01,1.3871423814e-01
8,2,10,2.2479509200e+02,2.2570955187e+02,2.2464115288e+02,2.2519190415e+02,1.3871423814e-01,-2.7971348111e-01
10,1,14,2.2464115288e+02,2.2519190415e+02,2.2443149464e+02,2.2463233459e+02,-2.7971348111e-01,-1.0284985200e+00
14,3,15,2.2443149464e+02,2.2463233459e+02,2.2443217465e+02,2.2436508292e+02,-1.0284985200e+00,-1.1838886948e+00
15,3,14,2.2443217465e+02,2.2436508292e+02,2.2443118973e+02,2.2463200920e+02,-1.1838886948e+00,-1.0285331211e+00
14,1,10,2.2443118973e+02,2.2463200920e+02,2.2464020184e+02,2.2519250967e+02,-1.0285331211e+00,-2.7980729654e-01
10,1,14,2.2464020184e+02,2.2519250967e+02,2.2443049110e+02,2.2463295978e+02,-2.7980729654e-01,-1.0285923355e+00
14,1,10,2.2443049110e+02,2.2463295978e+02,2.2463953640e+02,2.2519344787e+02,-1.0285923355e+00,-2.7986651091e-01
10,1,14,2.2463953640e+02,2.2519344787e+02,2.2442979253e+02,2.2463391040e+02,-2.7986651091e-01,-1.0286515498e+00
14,3,15,2.2442979253e+02,2.2463391040e+02,2.2443043164e+02,2.2436665863e+02,-1.0286515498e+00,-1.1840417246e+00
15,3,14,2.2443043164e+02,2.2436665863e+02,2.2442948757e+02,2.2463358505e+02,-1.1840417246e+00,-1.0286861509e+00
14,2,12,2.2442948757e+02,2.2463358505e+02,2.2470091208e+02,2.2513320720e+02,-1.0286861509e+00,-5.8421125800e-01
12,0,4,2.2470091208e+02,2.2513320720e+02,2.2480210594e+02,2.2544482532e+02,-5.8421125800e-01,4.3982603600e-01
4,1,0,2.2480210594e+02,2.2544482532e+02,2.2474773869e+02,2.2599230154e+02,4.3982603600e-01,1.1702798198e+00
0,1,4,2.2474773869e+02,2.2599230154e+02,2.2480170293e+02,2.2544423212e+02,1.1702798198e+00,4.3998649440e-01
4,1,0,2.2480170293e+02,2.2544423212e+02,2.2474724783e+02,2.2599169961e+02,4.3998649440e-01,1.1704402782e+00
0,2,2,2.2474724783e+02,2.2599169961e+02,2.2478699870e+02,2.2547153190e+02,1.1704402782e+00,7.3727565507e-01
2,0,10,2.2478699870e+02,2.2547153190e+02,2.2483902692e+02,2.2514156575e+02,7.3727565507e-01,-2.9685410133e-01
10,1,14,2.2483902692e+02,2.2514156575e+02,2.2461980858e+02,2.2458567189e+02,-2.9685410133e-01,-1.0456391403e+00
14,1,10,2.2461980858e+02,2.2458567189e+02,2.2483837758e+02,2.2514251516e+02,-1.0456391403e+00,-2.9691331570e-01
10,2,8,2.2483837758e+02,2.2514251516e+02,2.2500162203e+02,2.2565750215e+02,-2.9691331570e-01,1.2157788759e-01
8,1,12,2.2500162203e+02,2.2565750215e+02,2.2473112842e+02,2.2513803785e+02,1.2157788759e-01,-6.0100531891e-01
