Statei,Action,Staten,xcmi,ycmi,xcmn,ycmn,thetai,thetan
9,2,11,2.2510679193e+02,2.2506327013e+02,2.2510893231e+02,2.2499173611e+02,-1.4390395090e-03,-6.2310761090e-02
11,2,9,2.2510893231e+02,2.2499173611e+02,2.2510675983e+02,2.2506341200e+02,-6.2310761090e-02,-1.4133980410e-03
9,0,1,2.2510675983e+02,2.2506341200e+02,2.2510458237e+02,2.2510920181e+02,-1.4133980410e-03,1.4677445383e-01
1,1,5,2.2510458237e+02,2.2510920181e+02,2.2510941676e+02,2.2503227422e+02,1.4677445383e-01,4.0675685869e-02
5,0,13,2.2510941676e+02,2.2503227422e+02,2.2510820856e+02,2.2498657104e+02,4.0675685869e-02,-1.0751208515e-01
13,1,9,2.2510820856e+02,2.2498657104e+02,2.2511133732e+02,2.2506342259e+02,-1.0751208515e-01,-1.4049554910e-03
9,2,11,2.2511133732e+02,2.2506342259e+02,2.2511348013e+02,2.2499188865e+02,-1.4049554910e-03,-6.2276677072e-02
11,3,10,2.2511348013e+02,2.2499188865e+02,2.2511282723e+02,2.2502709460e+02,-6.2276677072e-02,-4.1516125186e-02
10,2,8,2.2511282723e+02,2.2502709460e+02,2.2511650018e+02,2.2509875798e+02,-4.1516125186e-02,1.9365865312e-02
8,3,9,2.2511650018e+02,2.2509875798e+02,2.2511509446e+02,2.2506355640e+02,1.9365865312e-02,-1.3779512010e-03
9,1,13,2.2511509446e+02,2.2506355640e+02,2.2511199517e+02,2.2498669476e+02,-1.3779512010e-03,-1.0746727819e-01
13,0,5,2.2511199517e+02,2.2498669476e+02,2.2511328369e+02,2.2503238226e+02,-1.0746727819e-01,4.0741089999e-02
5,3,4,2.2511328369e+02,2.2503238226e+02,2.2511389899e+02,2.2506744494e+02,4.0741089999e-02,6.1469055454e-02
4,3,5,2.2511389899e+02,2.2506744494e+02,2.2511318832e+02,2.2503223840e+02,6.1469055454e-02,4.0709361554e-02
5,0,13,2.2511318832e+02,2.2503223840e+02,2.2511198165e+02,2.2498653519e+02,4.0709361554e-02,-1.0747840947e-01
13,1,9,2.2511198165e+02,2.2498653519e+02,2.2511510782e+02,2.2506338684e+02,-1.0747840947e-01,-1.3712798060e-03
9,0,1,2.2511510782e+02,2.2506338684e+02,2.2511292843e+02,2.2510917656e+02,-1.3712798060e-03,1.4681657206e-01
1,0,9,2.2511292843e+02,2.2510917656e+02,2.2511519446e+02,2.2506340004e+02,1.4681657206e-01,-1.3753599860e-03
9,2,11,2.2511519446e+02,2.2506340004e+02,2.2511733939e+02,2.2499186616e+02,-1.3753599860e-03,-6.2247081567e-02
11,1,15,2.2511733939e+02,2.2499186616e+02,2.2511619918e+02,2.2491483169e+02,-6.2247081567e-02,-1.6831395528e-01
15,3,14,2.2511619918e+02,2.2491483169e+02,2.2511634949e+02,2.2495005695e+02,-1.6831395528e-01,-1.4754121594e-01
14,0,6,2.2511634949e+02,2.2495005695e+02,2.2511862625e+02,2.2499584662e+02,-1.4754121594e-01,6.5568956700e-04
6,2,4,2.2511862625e+02,2.2499584662e+02,2.2512086481e+02,2.2506737481e+02,6.5568956700e-04,6.1527171055e-02
4,3,5,2.2512086481e+02,2.2506737481e+02,2.2512015618e+02,2.2503216822e+02,6.1527171055e-02,4.0767477155e-02
5,0,13,2.2512015618e+02,2.2503216822e+02,2.2511895217e+02,2.2498646494e+02,4.0767477155e-02,-1.0742029387e-01
13,0,5,2.2511895217e+02,2.2498646494e+02,2.2512023855e+02,2.2503215250e+02,-1.0742029387e-01,4.0788074325e-02
5,1,1,2.2512023855e+02,2.2503215250e+02,2.2511541861e+02,2.2510903657e+02,4.0788074325e-02,1.4687695671e-01
1,0,9,2.2511541861e+02,2.2510903657e+02,2.2511768740e+02,2.2506326019e+02,1.4687695671e-01,-1.3149753350e-03
9,3,8,2.2511768740e+02,2.2506326019e+02,2.2511908456e+02,2.2509842591e+02,-1.3149753350e-03,1.9421711757e-02
8,3,9,2.2511908456e+02,2.2509842591e+02,2.2511768080e+02,2.2506322425e+02,1.9421711757e-02,-1.3221047560e-03
9,2,11,2.2511768080e+02,2.2506322425e+02,2.2511982955e+02,2.2499169048e+02,-1.3221047560e-03,-6.2193826337e-02
11,0,3,2.2511982955e+02,2.2499169048e+02,2.2511732187e+02,2.2503740680e+02,-6.2193826337e-02,8.5976468683e-02
3,3,2,2.2511732187e+02,2.2503740680e+02,2.2511514453e+02,2.2507247987e+02,8.5976468683e-02,1.0674944628e-01
2,1,6,2.2511514453e+02,2.2507247987e+02,2.2511817665e+02,2.2499558181e+02,1.0674944628e-01,6.6322318800e-04
6,3,7,2.2511817665e+02,2.2499558181e+02,2.2511953774e+02,2.2496039536e+02,6.6322318800e-04,-2.0077091873e-02
7,0,15,2.2511953774e+02,2.2496039536e+02,2.2511863836e+02,2.2491465169e+02,-2.0077091873e-02,-1.6822646252e-01
15,0,7,2.2511863836e+02,2.2491465169e+02,2.2511957857e+02,2.2496043337e+02,-1.6822646252e-01,-2.0077261623e-02
7,1,3,2.2511957857e+02,2.2496043337e+02,2.2511287505e+02,2.2503723293e+02,-2.0077261623e-02,8.5937356447e-02
3,0,11,2.2511287505e+02,2.2503723293e+02,2.2511544645e+02,2.2499157290e+02,8.5937356447e-02,-6.2229326913e-02
11,0,3,2.2511544645e+02,2.2499157290e+02,2.2511294039e+02,2.2503728931e+02,-6.2229326913e-02,8.5940968107e-02
3,1,7,2.2511294039e+02,2.2503728931e+02,2.2511967857e+02,2.2496047461e+02,8.5940968107e-02,-2.0084478423e-02
7,3,6,2.2511967857e+02,2.2496047461e+02,2.2511828131e+02,2.2499561945e+02,-2.0084478423e-02,6.4536411100e-04
6,0,14,2.2511828131e+02,2.2499561945e+02,2.2511605339e+02,2.2494983442e+02,6.4536411100e-04,-1.4754165572e-01
14,2,12,2.2511605339e+02,2.2494983442e+02,2.2512294586e+02,2.2502138520e+02,-1.4754165572e-01,-8.6592595974e-02
