Statei,Action,Staten,xcmi,ycmi,xcmn,ycmn,thetai,thetan
11,3,10,2.2497194124e+02,2.2485689489e+02,2.2498682345e+02,2.2492572484e+02,-3.7471877791e-01,-3.3322414793e-01
10,1,14,2.2498682345e+02,2.2492572484e+02,2.2492996259e+02,2.2478084250e+02,-3.3322414793e-01,-5.4556173672e-01
14,0,6,2.2492996259e+02,2.2478084250e+02,2.2496160098e+02,2.2486797452e+02,-5.4556173672e-01,-2.4925651706e-01
6,0,14,2.2496160098e+02,2.2486797452e+02,2.2493014281e+02,2.2478096976e+02,-2.4925651706e-01,-5.4555876580e-01
14,0,6,2.2493014281e+02,2.2478096976e+02,2.2496178094e+02,2.2486810187e+02,-5.4555876580e-01,-2.4925354614e-01
6,2,4,2.2496178094e+02,2.2486810187e+02,2.2500585401e+02,2.2500452608e+02,-2.4925354614e-01,-1.2758351474e-01
4,2,6,2.2500585401e+02,2.2500452608e+02,2.2496165730e+02,2.2486805737e+02,-1.2758351474e-01,-2.4929726373e-01
6,0,14,2.2496165730e+02,2.2486805737e+02,2.2493019559e+02,2.2478105390e+02,-2.4929726373e-01,-5.4559951247e-01
14,2,12,2.2493019559e+02,2.2478105390e+02,2.2499221025e+02,2.2491302554e+02,-5.4559951247e-01,-4.2335680612e-01
12,3,13,2.2499221025e+02,2.2491302554e+02,2.2496638687e+02,2.2484730904e+02,-4.2335680612e-01,-4.6510182587e-01
13,2,15,2.2496638687e+02,2.2484730904e+02,2.2492654563e+02,2.2470921352e+02,-4.6510182587e-01,-5.8701485328e-01
15,0,7,2.2492654563e+02,2.2470921352e+02,2.2495284803e+02,2.2479716979e+02,-5.8701485328e-01,-2.9097544416e-01
7,0,15,2.2495284803e+02,2.2479716979e+02,2.2492659569e+02,2.2470926123e+02,-2.9097544416e-01,-5.8700320506e-01
15,2,13,2.2492659569e+02,2.2470926123e+02,2.2496633527e+02,2.2484766220e+02,-5.8700320506e-01,-4.6506550910e-01
13,1,9,2.2496633527e+02,2.2484766220e+02,2.2501624891e+02,2.2499353454e+02,-4.6506550910e-01,-2.5283330309e-01
9,2,11,2.2501624891e+02,2.2499353454e+02,2.2498920570e+02,2.2485277726e+02,-2.5283330309e-01,-3.7451181234e-01
11,1,15,2.2498920570e+02,2.2485277726e+02,2.2494670133e+02,2.2470453526e+02,-3.7451181234e-01,-5.8640976943e-01
15,3,14,2.2494670133e+02,2.2470453526e+02,2.2496466758e+02,2.2477312579e+02,-5.8640976943e-01,-5.4470818101e-01
14,3,15,2.2496466758e+02,2.2477312579e+02,2.2494655681e+02,2.2470444049e+02,-5.4470818101e-01,-5.8643368810e-01
15,1,11,2.2494655681e+02,2.2470444049e+02,2.2498905405e+02,2.2485289740e+02,-5.8643368810e-01,-3.7451410141e-01
