Statei,Action,Staten,xcmi,ycmi,xcmn,ycmn,thetai,thetan
2,0,10,2.2500000000e+02,2.2500000000e+02,2.2498530773e+02,2.2490952896e+02,0.0000000000e+00,-2.9637651587e-01
10,3,11,2.2498530773e+02,2.2490952896e+02,2.2497282763e+02,2.2484000899e+02,-2.9637651587e-01,-3.3792039383e-01
11,1,15,2.2497282763e+02,2.2484000899e+02,2.2493577489e+02,2.2469031128e+02,-3.3792039383e-01,-5.4981835092e-01
15,0,7,2.2493577489e+02,2.2469031128e+02,2.2495878819e+02,2.2477918484e+02,-5.4981835092e-01,-2.5377894180e-01
7,3,6,2.2495878819e+02,2.2477918484e+02,2.2496844281e+02,2.2484966316e+02,-2.5377894180e-01,-2.1229404385e-01
6,3,7,2.2496844281e+02,2.2484966316e+02,2.2495865705e+02,2.2477921144e+02,-2.1229404385e-01,-2.5378415540e-01
7,3,6,2.2495865705e+02,2.2477921144e+02,2.2496831204e+02,2.2484968971e+02,-2.5378415540e-01,-2.1229925745e-01
6,3,7,2.2496831204e+02,2.2484968971e+02,2.2495852591e+02,2.2477923804e+02,-2.1229925745e-01,-2.5378936900e-01
7,1,3,2.2495852591e+02,2.2477923804e+02,2.2496522807e+02,2.2493467248e+02,-2.5378936900e-01,-4.2118836677e-02
3,3,2,2.2496522807e+02,2.2493467248e+02,2.2497171017e+02,2.2500499413e+02,-4.2118836677e-02,-3.6965961500e-04
2,1,6,2.2497171017e+02,2.2500499413e+02,2.2495079951e+02,2.2485218318e+02,-3.6965961500e-04,-2.1264631993e-01
6,2,4,2.2495079951e+02,2.2485218318e+02,2.2498985005e+02,2.2499012902e+02,-2.1264631993e-01,-9.0976288525e-02
4,0,12,2.2498985005e+02,2.2499012902e+02,2.2496058638e+02,2.2490328757e+02,-9.0976288525e-02,-3.8709697101e-01
12,3,13,2.2496058638e+02,2.2490328757e+02,2.2493716231e+02,2.2483667812e+02,-3.8709697101e-01,-4.2884199076e-01
13,2,15,2.2493716231e+02,2.2483667812e+02,2.2490235348e+02,2.2469722906e+02,-4.2884199076e-01,-5.5075501817e-01
15,0,7,2.2490235348e+02,2.2469722906e+02,2.2492545002e+02,2.2478608102e+02,-5.5075501817e-01,-2.5471560905e-01
7,0,15,2.2492545002e+02,2.2478608102e+02,2.2490240178e+02,2.2469727855e+02,-2.5471560905e-01,-5.5074336995e-01
15,0,7,2.2490240178e+02,2.2469727855e+02,2.2492549728e+02,2.2478613079e+02,-5.5074336995e-01,-2.5470396083e-01
7,2,5,2.2492549728e+02,2.2478613079e+02,2.2494212363e+02,2.2492944155e+02,-2.5470396083e-01,-1.3313339436e-01
5,1,1,2.2494212363e+02,2.2492944155e+02,2.2495637354e+02,2.2508433419e+02,-1.3313339436e-01,7.9154371030e-02
1,2,3,2.2495637354e+02,2.2508433419e+02,2.2495239202e+02,2.2493881719e+02,7.9154371030e-02,-4.3068681850e-02
3,3,2,2.2495239202e+02,2.2493881719e+02,2.2495894091e+02,2.2500913265e+02,-4.3068681850e-02,-1.3195047880e-03
2,3,3,2.2495894091e+02,2.2500913265e+02,2.2495229572e+02,2.2493882991e+02,-1.3195047880e-03,-4.3087807828e-02
