Statei,Action,Staten,xcmi,ycmi,xcmn,ycmn,thetai,thetan
16,2,20,2.2500151325e+02,2.2513084451e+02,2.2500001475e+02,2.2503431933e+02,9.9726775484e-02,1.5775492793e-02
20,3,22,2.2500001475e+02,2.2503431933e+02,2.2499971445e+02,2.2495706838e+02,1.5775492793e-02,-3.1412669813e-02
22,2,18,2.2499971445e+02,2.2495706838e+02,2.2499532162e+02,2.2505318656e+02,-3.1412669813e-02,5.2590206350e-02
18,1,26,2.2499532162e+02,2.2505318656e+02,2.2499495828e+02,2.2496726063e+02,5.2590206350e-02,-6.8698805880e-02
26,2,30,2.2499495828e+02,2.2496726063e+02,2.2499171288e+02,2.2487065889e+02,-6.8698805880e-02,-1.5277114444e-01
30,3,28,2.2499171288e+02,2.2487065889e+02,2.2499604211e+02,2.2494814857e+02,-1.5277114444e-01,-1.0547186019e-01
28,3,30,2.2499604211e+02,2.2494814857e+02,2.2499172391e+02,2.2487075407e+02,-1.0547186019e-01,-1.5275985358e-01
30,3,28,2.2499172391e+02,2.2487075407e+02,2.2499605227e+02,2.2494824381e+02,-1.5275985358e-01,-1.0546056934e-01
28,2,24,2.2499605227e+02,2.2494824381e+02,2.2500517128e+02,2.2504458839e+02,-1.0546056934e-01,-2.1448777848e-02
24,3,26,2.2500517128e+02,2.2504458839e+02,2.2500067693e+02,2.2496723757e+02,-2.1448777848e-02,-6.8672811572e-02
26,4,27,2.2500067693e+02,2.2496723757e+02,2.2500233259e+02,2.2493239356e+02,-6.8672811572e-02,-8.4518075203e-02
27,1,19,2.2500233259e+02,2.2493239356e+02,2.2499938448e+02,2.2501805415e+02,-8.4518075203e-02,3.6744648337e-02
19,2,23,2.2499938448e+02,2.2501805415e+02,2.2500959235e+02,2.2492235167e+02,3.6744648337e-02,-4.7192642638e-02
23,3,21,2.2500959235e+02,2.2492235167e+02,2.2500259391e+02,2.2499934886e+02,-4.7192642638e-02,-2.1523999000e-05
21,1,29,2.2500259391e+02,2.2499934886e+02,2.2500069655e+02,2.2491335809e+02,-2.1523999000e-05,-1.2135541027e-01
29,2,25,2.2500069655e+02,2.2491335809e+02,2.2500412744e+02,2.2500978185e+02,-1.2135541027e-01,-3.7250674606e-02
25,1,17,2.2500412744e+02,2.2500978185e+02,2.2500436684e+02,2.2509581557e+02,-3.7250674606e-02,8.3994562704e-02
17,4,16,2.2500436684e+02,2.2509581557e+02,2.2500489053e+02,2.2513097739e+02,8.3994562704e-02,9.9832163526e-02
16,2,20,2.2500489053e+02,2.2513097739e+02,2.2500340220e+02,2.2503445206e+02,9.9832163526e-02,1.5880880835e-02
20,3,22,2.2500340220e+02,2.2503445206e+02,2.2500311004e+02,2.2495720108e+02,1.5880880835e-02,-3.1307281771e-02
