Statei,Action,Staten,xcmi,ycmi,xcmn,ycmn,thetai,thetan
11,2,9,2.2416019519e+02,2.2487487944e+02,2.2418685052e+02,2.2508897810e+02,-4.0036538894e-01,-2.1797830444e-01
9,2,11,2.2418685052e+02,2.2508897810e+02,2.2416007318e+02,2.2487494925e+02,-2.1797830444e-01,-4.0034138954e-01
11,0,3,2.2416007318e+02,2.2487494925e+02,2.2416739187e+02,2.2501278243e+02,-4.0034138954e-01,4.3225106062e-02
3,1,7,2.2416739187e+02,2.2501278243e+02,2.2417593919e+02,2.2477647203e+02,4.3225106062e-02,-2.7347835099e-01
7,0,15,2.2417593919e+02,2.2477647203e+02,2.2413877661e+02,2.2464338402e+02,-2.7347835099e-01,-7.1680772315e-01
15,1,11,2.2413877661e+02,2.2464338402e+02,2.2419766528e+02,2.2486856892e+02,-7.1680772315e-01,-3.9942409800e-01
11,2,9,2.2419766528e+02,2.2486856892e+02,2.2422411907e+02,2.2508269258e+02,-3.9942409800e-01,-2.1703701350e-01
9,3,8,2.2422411907e+02,2.2508269258e+02,2.2425903702e+02,2.2518547198e+02,-2.1703701350e-01,-1.5472441110e-01
8,2,10,2.2425903702e+02,2.2518547198e+02,2.2418182720e+02,2.2498097075e+02,-1.5472441110e-01,-3.3683956956e-01
10,3,11,2.2418182720e+02,2.2498097075e+02,2.2416493012e+02,2.2487609740e+02,-3.3683956956e-01,-3.9916125455e-01
11,1,15,2.2416493012e+02,2.2487609740e+02,2.2410616045e+02,2.2465127014e+02,-3.9916125455e-01,-7.1654327479e-01
15,0,7,2.2410616045e+02,2.2465127014e+02,2.2414341053e+02,2.2478441132e+02,-7.1654327479e-01,-2.7316727209e-01
7,3,6,2.2414341053e+02,2.2478441132e+02,2.2415422804e+02,2.2489230226e+02,-2.7316727209e-01,-2.1088334003e-01
6,3,7,2.2415422804e+02,2.2489230226e+02,2.2414326744e+02,2.2478418513e+02,-2.1088334003e-01,-2.7322303067e-01
7,0,15,2.2414326744e+02,2.2478418513e+02,2.2410613885e+02,2.2465108763e+02,-2.7322303067e-01,-7.1655240283e-01
15,1,11,2.2410613885e+02,2.2465108763e+02,2.2416497002e+02,2.2487628757e+02,-7.1655240283e-01,-3.9916877768e-01
11,0,3,2.2416497002e+02,2.2487628757e+02,2.2417212708e+02,2.2501412924e+02,-3.9916877768e-01,4.4397717918e-02
3,0,11,2.2417212708e+02,2.2501412924e+02,2.2416516805e+02,2.2487633234e+02,4.4397717918e-02,-3.9920757606e-01
11,2,9,2.2416516805e+02,2.2487633234e+02,2.2419157548e+02,2.2509046172e+02,-3.9920757606e-01,-2.1682049156e-01
9,1,13,2.2419157548e+02,2.2509046172e+02,2.2411621502e+02,2.2487055828e+02,-2.1682049156e-01,-5.3522713472e-01
13,3,12,2.2411621502e+02,2.2487055828e+02,2.2415701326e+02,2.2496891755e+02,-5.3522713472e-01,-4.7212701113e-01
12,0,4,2.2415701326e+02,2.2496891755e+02,2.2420798098e+02,2.2509733370e+02,-4.7212701113e-01,-2.8580565348e-02
4,2,6,2.2420798098e+02,2.2509733370e+02,2.2414305302e+02,2.2489124157e+02,-2.8580565348e-02,-2.1104048304e-01
6,3,7,2.2414305302e+02,2.2489124157e+02,2.2413207544e+02,2.2478312615e+02,-2.1104048304e-01,-2.7338017368e-01
7,0,15,2.2413207544e+02,2.2478312615e+02,2.2409492592e+02,2.2465003449e+02,-2.7338017368e-01,-7.1670954584e-01
15,0,7,2.2409492592e+02,2.2465003449e+02,2.2413219814e+02,2.2478316947e+02,-7.1670954584e-01,-2.7333354314e-01
7,1,3,2.2413219814e+02,2.2478316947e+02,2.2412383178e+02,2.2501952245e+02,-2.7333354314e-01,4.3321647531e-02
3,0,11,2.2412383178e+02,2.2501952245e+02,2.2411672448e+02,2.2488173312e+02,4.3321647531e-02,-4.0028364645e-01
11,3,10,2.2411672448e+02,2.2488173312e+02,2.2413357117e+02,2.2498665952e+02,-4.0028364645e-01,-3.3793982500e-01
10,3,11,2.2413357117e+02,2.2498665952e+02,2.2411655871e+02,2.2488180483e+02,-3.3793982500e-01,-4.0026150999e-01
11,2,9,2.2411655871e+02,2.2488180483e+02,2.2414319180e+02,2.2509590625e+02,-4.0026150999e-01,-2.1787442549e-01
9,0,1,2.2414319180e+02,2.2509590625e+02,2.2415366120e+02,2.2523634091e+02,-2.1787442549e-01,2.2636554010e-01
1,3,0,2.2415366120e+02,2.2523634091e+02,2.2417571043e+02,2.2534171106e+02,2.2636554010e-01,2.8937701075e-01
0,1,4,2.2417571043e+02,2.2534171106e+02,2.2413594398e+02,2.2511236726e+02,2.8937701075e-01,-2.7995792596e-02
4,3,5,2.2413594398e+02,2.2511236726e+02,2.2410756216e+02,2.2500974252e+02,-2.7995792596e-02,-9.0393718785e-02
5,0,13,2.2410756216e+02,2.2500974252e+02,2.2406787909e+02,2.2487729382e+02,-9.0393718785e-02,-5.3476722070e-01
13,0,5,2.2406787909e+02,2.2487729382e+02,2.2410781239e+02,2.2500969594e+02,-5.3476722070e-01,-9.0367655495e-02
5,1,1,2.2410781239e+02,2.2500969594e+02,2.2411540277e+02,2.2524603303e+02,-9.0367655495e-02,2.2839948632e-01
1,0,9,2.2411540277e+02,2.2524603303e+02,2.2410536937e+02,2.2510558040e+02,2.2839948632e-01,-2.1593113858e-01
9,0,1,2.2410536937e+02,2.2510558040e+02,2.2411556584e+02,2.2524603515e+02,-2.1593113858e-01,2.2830882701e-01
1,1,5,2.2411556584e+02,2.2524603515e+02,2.2410789106e+02,2.2500959842e+02,2.2830882701e-01,-9.0496201325e-02
5,3,4,2.2410789106e+02,2.2500959842e+02,2.2413605585e+02,2.2511212065e+02,-9.0496201325e-02,-2.8128607739e-02
4,0,12,2.2413605585e+02,2.2511212065e+02,2.2408543850e+02,2.2498359162e+02,-2.8128607739e-02,-4.7170541879e-01
12,2,14,2.2408543850e+02,2.2498359162e+02,2.2398116671e+02,2.2478699380e+02,-4.7170541879e-01,-6.5588206946e-01
14,0,6,2.2398116671e+02,2.2478699380e+02,2.2403034933e+02,2.2491910652e+02,-6.5588206946e-01,-2.1160448621e-01
6,0,14,2.2403034933e+02,2.2491910652e+02,2.2398140335e+02,2.2478713956e+02,-2.1160448621e-01,-6.5590793226e-01
14,1,10,2.2398140335e+02,2.2478713956e+02,2.2407262856e+02,2.2500537337e+02,-6.5590793226e-01,-3.3715131871e-01
10,1,14,2.2407262856e+02,2.2500537337e+02,2.2398151865e+02,2.2478710647e+02,-3.3715131871e-01,-6.5587716773e-01
14,1,10,2.2398151865e+02,2.2478710647e+02,2.2407273714e+02,2.2500534309e+02,-6.5587716773e-01,-3.3712055418e-01
10,1,14,2.2407273714e+02,2.2500534309e+02,2.2398163395e+02,2.2478707339e+02,-3.3712055418e-01,-6.5584640320e-01
14,0,6,2.2398163395e+02,2.2478707339e+02,2.2403081185e+02,2.2491918787e+02,-6.5584640320e-01,-2.1156881995e-01
6,2,4,2.2403081185e+02,2.2491918787e+02,2.2409574142e+02,2.2512496471e+02,-2.1156881995e-01,-2.9170949009e-02
4,3,5,2.2409574142e+02,2.2512496471e+02,2.2406723902e+02,2.2502237339e+02,-2.9170949009e-02,-9.1568875198e-02
5,2,7,2.2406723902e+02,2.2502237339e+02,2.2405238662e+02,2.2480423660e+02,-9.1568875198e-02,-2.7365178466e-01
7,2,5,2.2405238662e+02,2.2480423660e+02,2.2406716893e+02,2.2502224453e+02,-2.7365178466e-01,-9.1592904968e-02
5,1,1,2.2406716893e+02,2.2502224453e+02,2.2407504888e+02,2.2525857213e+02,-9.1592904968e-02,2.2717423685e-01
1,0,9,2.2407504888e+02,2.2525857213e+02,2.2406484340e+02,2.2511813191e+02,2.2717423685e-01,-2.1715638805e-01
9,0,1,2.2406484340e+02,2.2511813191e+02,2.2407521195e+02,2.2525857405e+02,-2.1715638805e-01,2.2708357754e-01
1,0,9,2.2407521195e+02,2.2525857405e+02,2.2406499373e+02,2.2511813476e+02,2.2708357754e-01,-2.1724704736e-01
9,3,8,2.2406499373e+02,2.2511813476e+02,2.2409993327e+02,2.2522090682e+02,-2.1724704736e-01,-1.5493444496e-01
8,2,10,2.2409993327e+02,2.2522090682e+02,2.2402268050e+02,2.2501642181e+02,-1.5493444496e-01,-3.3704960342e-01
10,3,11,2.2402268050e+02,2.2501642181e+02,2.2400576139e+02,2.2491155202e+02,-3.3704960342e-01,-3.9937128841e-01
11,3,10,2.2400576139e+02,2.2491155202e+02,2.2402251235e+02,2.2501649374e+02,-3.9937128841e-01,-3.3702746696e-01
10,2,8,2.2402251235e+02,2.2501649374e+02,2.2409967824e+02,2.2522074750e+02,-3.3702746696e-01,-1.5500169127e-01
8,3,9,2.2409967824e+02,2.2522074750e+02,2.2406461393e+02,2.2511800986e+02,-1.5500169127e-01,-2.1732401042e-01
9,1,13,2.2406461393e+02,2.2511800986e+02,2.2398914275e+02,2.2489814439e+02,-2.1732401042e-01,-5.3573065358e-01
13,2,15,2.2398914275e+02,2.2489814439e+02,2.2393366368e+02,2.2468826042e+02,-5.3573065358e-01,-7.1893302182e-01
15,2,13,2.2393366368e+02,2.2468826042e+02,2.2398901683e+02,2.2489859213e+02,-7.1893302182e-01,-5.3571184745e-01
13,2,15,2.2398901683e+02,2.2489859213e+02,2.2393354170e+02,2.2468870711e+02,-5.3571184745e-01,-7.1891421569e-01
15,2,13,2.2393354170e+02,2.2468870711e+02,2.2398889089e+02,2.2489903987e+02,-7.1891421569e-01,-5.3569304132e-01
13,0,5,2.2398889089e+02,2.2489903987e+02,2.2402894675e+02,2.2503140496e+02,-5.3569304132e-01,-9.1293476120e-02
5,3,4,2.2402894675e+02,2.2503140496e+02,2.2405719327e+02,2.2513390470e+02,-9.1293476120e-02,-2.8925882534e-02
4,3,5,2.2405719327e+02,2.2513390470e+02,2.2402871601e+02,2.2503130640e+02,-2.8925882534e-02,-9.1323808723e-02
5,3,4,2.2402871601e+02,2.2503130640e+02,2.2405696564e+02,2.2513380528e+02,-9.1323808723e-02,-2.8956215137e-02
4,2,6,2.2405696564e+02,2.2513380528e+02,2.2399196027e+02,2.2492773755e+02,-2.8956215137e-02,-2.1141613283e-01
6,3,7,2.2399196027e+02,2.2492773755e+02,2.2398094207e+02,2.2481962627e+02,-2.1141613283e-01,-2.7375582347e-01
7,3,6,2.2398094207e+02,2.2481962627e+02,2.2399182308e+02,2.2492751083e+02,-2.7375582347e-01,-2.1147189141e-01
6,2,4,2.2399182308e+02,2.2492751083e+02,2.2405673271e+02,2.2513329396e+02,-2.1147189141e-01,-2.9074020468e-02
4,3,5,2.2405673271e+02,2.2513329396e+02,2.2402824025e+02,2.2503069988e+02,-2.9074020468e-02,-9.1471946657e-02
5,2,7,2.2402824025e+02,2.2503069988e+02,2.2401340899e+02,2.2481256166e+02,-9.1471946657e-02,-2.7355485612e-01
7,2,5,2.2401340899e+02,2.2481256166e+02,2.2402817017e+02,2.2503057101e+02,-2.7355485612e-01,-9.1495976427e-02
5,2,7,2.2402817017e+02,2.2503057101e+02,2.2401333367e+02,2.2481243314e+02,-9.1495976427e-02,-2.7357888589e-01
