Statei,Action,Staten,xcmi,ycmi,xcmn,ycmn,thetai,thetan
1,0,9,2.2500000000e+02,2.2500000000e+02,2.2482227398e+02,2.2475563876e+02,0.0000000000e+00,-8.8643848564e-01
9,3,8,2.2482227398e+02,2.2475563876e+02,2.2502895905e+02,2.2486640227e+02,-8.8643848564e-01,-7.6127685970e-01
8,1,12,2.2502895905e+02,2.2486640227e+02,2.2455075926e+02,2.2473660200e+02,-7.6127685970e-01,-1.3851781104e+00
12,0,4,2.2455075926e+02,2.2473660200e+02,2.2480806533e+02,2.2484680993e+02,-1.3851781104e+00,-5.0440796332e-01
4,3,5,2.2480806533e+02,2.2484680993e+02,2.2462679122e+02,2.2472505174e+02,-5.0440796332e-01,-6.2995696450e-01
5,3,4,2.2462679122e+02,2.2472505174e+02,2.2480781403e+02,2.2484714216e+02,-6.2995696450e-01,-5.0440102290e-01
4,3,5,2.2480781403e+02,2.2484714216e+02,2.2462654077e+02,2.2472538270e+02,-5.0440102290e-01,-6.2995002408e-01
5,3,4,2.2462654077e+02,2.2472538270e+02,2.2480756273e+02,2.2484747438e+02,-6.2995002408e-01,-5.0439408248e-01
4,1,0,2.2480756273e+02,2.2484747438e+02,2.2514392046e+02,2.2517703331e+02,-5.0439408248e-01,1.2465782684e-01
0,3,1,2.2514392046e+02,2.2517703331e+02,2.2496944864e+02,2.2503460372e+02,1.2465782684e-01,-5.9995820000e-03
1,1,5,2.2496944864e+02,2.2503460372e+02,2.2470011660e+02,2.2461095792e+02,-5.9995820000e-03,-6.4633938372e-01
5,2,7,2.2470011660e+02,2.2461095792e+02,2.2443295943e+02,2.2424168107e+02,-6.4633938372e-01,-1.0068176204e+00
7,0,15,2.2443295943e+02,2.2424168107e+02,2.2419505058e+02,2.2409181363e+02,-1.0068176204e+00,-1.8852976454e+00
15,3,14,2.2419505058e+02,2.2409181363e+02,2.2436804004e+02,2.2423636996e+02,-1.8852976454e+00,-1.7546120927e+00
14,2,12,2.2436804004e+02,2.2423636996e+02,2.2483225986e+02,2.2434982699e+02,-1.7546120927e+00,-1.3775404134e+00
12,0,4,2.2483225986e+02,2.2434982699e+02,2.2508871669e+02,2.2446199691e+02,-1.3775404134e+00,-4.9677026630e-01
4,0,12,2.2508871669e+02,2.2446199691e+02,2.2483268757e+02,2.2434955251e+02,-4.9677026630e-01,-1.3775868181e+00
12,0,4,2.2483268757e+02,2.2434955251e+02,2.2508914961e+02,2.2446171053e+02,-1.3775868181e+00,-4.9681667100e-01
4,2,6,2.2508914961e+02,2.2446171053e+02,2.2471270353e+02,2.2423943227e+02,-4.9681667100e-01,-8.6009916368e-01
