Statei,Action,Staten,xcmi,ycmi,xcmn,ycmn,thetai,thetan
29,2,25,2.2508682903e+02,2.2473957107e+02,2.2509188021e+02,2.2493379885e+02,-2.0014309740e-01,-3.1504795644e-02
25,3,27,2.2509188021e+02,2.2493379885e+02,2.2510943305e+02,2.2478174793e+02,-3.1504795644e-02,-1.2603465594e-01
27,2,31,2.2510943305e+02,2.2478174793e+02,2.2512799177e+02,2.2458883907e+02,-1.2603465594e-01,-2.9399003695e-01
31,1,23,2.2512799177e+02,2.2458883907e+02,2.2511524804e+02,2.2476082641e+02,-2.9399003695e-01,-5.1718739880e-02
23,2,19,2.2511524804e+02,2.2476082641e+02,2.2506723602e+02,2.2494795380e+02,-5.1718739880e-02,1.1568221944e-01
19,3,17,2.2506723602e+02,2.2494795380e+02,2.2503348214e+02,2.2510036596e+02,1.1568221944e-01,2.1022037424e-01
17,3,19,2.2503348214e+02,2.2510036596e+02,2.2506705079e+02,2.2494811742e+02,2.1022037424e-01,1.1571625886e-01
19,3,17,2.2506705079e+02,2.2494811742e+02,2.2503329172e+02,2.2510052842e+02,1.1571625886e-01,2.1025441366e-01
17,2,21,2.2503329172e+02,2.2510052842e+02,2.2505832314e+02,2.2490848514e+02,2.1025441366e-01,4.2290611354e-02
21,3,23,2.2505832314e+02,2.2490848514e+02,2.2509244437e+02,2.2475705456e+02,4.2290611354e-02,-5.1797101076e-02
23,4,22,2.2509244437e+02,2.2475705456e+02,2.2507607655e+02,2.2482611652e+02,-5.1797101076e-02,-2.0174922372e-02
22,1,30,2.2507607655e+02,2.2482611652e+02,2.2507559801e+02,2.2465121027e+02,-2.0174922372e-02,-2.6289633349e-01
30,2,26,2.2507559801e+02,2.2465121027e+02,2.2507945958e+02,2.2484717274e+02,-2.6289633349e-01,-9.4323133972e-02
26,3,24,2.2507945958e+02,2.2484717274e+02,2.2509027966e+02,2.2500302864e+02,-9.4323133972e-02,2.2170947900e-04
24,1,16,2.2509027966e+02,2.2500302864e+02,2.2509654791e+02,2.2517669001e+02,2.2170947900e-04,2.4180674522e-01
