Statei,Action,Staten,xcmi,ycmi,xcmn,ycmn,thetai,thetan
9,2,11,2.2864699070e+02,2.2845228170e+02,2.2920193136e+02,2.2808856275e+02,7.4779634346e-01,2.0700910265e-01
11,2,9,2.2920193136e+02,2.2808856275e+02,2.2864582390e+02,2.2845297472e+02,2.0700910265e-01,7.4791199643e-01
9,0,1,2.2864582390e+02,2.2845297472e+02,2.2821174275e+02,2.2868653133e+02,7.4791199643e-01,2.0716555470e+00
1,1,5,2.2821174275e+02,2.2868653133e+02,2.2894357419e+02,2.2836626087e+02,2.0716555470e+00,1.1037440318e+00
5,0,13,2.2894357419e+02,2.2836626087e+02,2.2916769102e+02,2.2799022920e+02,1.1037440318e+00,-2.2274880403e-01
13,1,9,2.2916769102e+02,2.2799022920e+02,2.2885084286e+02,2.2864321659e+02,-2.2274880403e-01,7.3666424014e-01
9,2,11,2.2885084286e+02,2.2864321659e+02,2.2940170026e+02,2.2827334265e+02,7.3666424014e-01,1.9587699933e-01
11,3,10,2.2940170026e+02,2.2827334265e+02,2.2913736624e+02,2.2848722046e+02,1.9587699933e-01,3.8635685136e-01
10,2,8,2.2913736624e+02,2.2848722046e+02,2.2885145346e+02,2.2914030767e+02,3.8635685136e-01,9.1763311691e-01
8,3,9,2.2885145346e+02,2.2914030767e+02,2.2903517351e+02,2.2879761838e+02,9.1763311691e-01,7.2832024824e-01
9,1,13,2.2903517351e+02,2.2879761838e+02,2.2934561316e+02,2.2814351428e+02,7.2832024824e-01,-2.3104963373e-01
13,0,5,2.2934561316e+02,2.2814351428e+02,2.2912448660e+02,2.2852257545e+02,-2.3104963373e-01,1.0953760969e+00
5,3,4,2.2912448660e+02,2.2852257545e+02,2.2893461362e+02,2.2880444148e+02,1.0953760969e+00,1.2859047787e+00
4,3,5,2.2893461362e+02,2.2880444148e+02,2.2912390013e+02,2.2852232298e+02,1.2859047787e+00,1.0954304471e+00
5,0,13,2.2912390013e+02,2.2852232298e+02,2.2934488308e+02,2.2814444111e+02,1.0954304471e+00,-2.3106238872e-01
13,1,9,2.2934488308e+02,2.2814444111e+02,2.2903347447e+02,2.2880004005e+02,-2.3106238872e-01,7.2835065545e-01
9,0,1,2.2903347447e+02,2.2880004005e+02,2.2860404476e+02,2.2904204264e+02,7.2835065545e-01,2.0520942060e+00
1,0,9,2.2860404476e+02,2.2904204264e+02,2.2903423314e+02,2.2879896624e+02,2.0520942060e+00,7.2837739025e-01
9,2,11,2.2903423314e+02,2.2879896624e+02,2.2958200657e+02,2.2842454017e+02,7.2837739025e-01,1.8759014944e-01
11,1,15,2.2958200657e+02,2.2842454017e+02,2.2999161879e+02,2.2785261219e+02,1.8759014944e-01,-7.3889298983e-01
15,3,14,2.2999161879e+02,2.2785261219e+02,2.2973538163e+02,2.2809260303e+02,-7.3889298983e-01,-5.2867727537e-01
14,0,6,2.2973538163e+02,2.2809260303e+02,2.2951302669e+02,2.2853396668e+02,-5.2867727537e-01,7.9502485543e-01
6,2,4,2.2951302669e+02,2.2853396668e+02,2.2916465792e+02,2.2909948065e+02,7.9502485543e-01,1.3360162888e+00
4,3,5,2.2916465792e+02,2.2909948065e+02,2.2936783827e+02,2.2882719776e+02,1.3360162888e+00,1.1455419571e+00
5,0,13,2.2936783827e+02,2.2882719776e+02,2.2960747212e+02,2.2846085941e+02,1.1455419571e+00,-1.8095087866e-01
13,0,5,2.2960747212e+02,2.2846085941e+02,2.2936764046e+02,2.2882837145e+02,-1.8095087866e-01,1.1454748519e+00
5,1,1,2.2936764046e+02,2.2882837145e+02,2.2862284150e+02,2.2911642797e+02,1.1454748519e+00,2.1134868078e+00
1,0,9,2.2862284150e+02,2.2911642797e+02,2.2906713315e+02,2.2890020329e+02,2.1134868078e+00,7.8976999201e-01
9,3,8,2.2906713315e+02,2.2890020329e+02,2.2886257084e+02,2.2923080749e+02,7.8976999201e-01,9.7913957465e-01
8,3,9,2.2886257084e+02,2.2923080749e+02,2.2906700780e+02,2.2890005904e+02,9.7913957465e-01,7.8982670598e-01
9,2,11,2.2906700780e+02,2.2890005904e+02,2.2963674111e+02,2.2855997880e+02,7.8982670598e-01,2.4903946517e-01
11,0,3,2.2963674111e+02,2.2855997880e+02,2.2924862988e+02,2.2872711005e+02,2.4903946517e-01,1.5542482950e+00
3,3,2,2.2924862988e+02,2.2872711005e+02,2.2893971782e+02,2.2885357711e+02,1.5542482950e+00,1.7645736380e+00
2,1,6,2.2893971782e+02,2.2885357711e+02,2.2958322899e+02,2.2851778832e+02,1.7645736380e+00,8.0512074149e-01
6,3,7,2.2958322899e+02,2.2851778832e+02,2.2991880896e+02,2.2832106304e+02,8.0512074149e-01,6.1570880017e-01
7,0,15,2.2991880896e+02,2.2832106304e+02,2.3015503762e+02,2.2796434069e+02,6.1570880017e-01,-6.7770690393e-01
15,0,7,2.3015503762e+02,2.2796434069e+02,2.2991871553e+02,2.2832040376e+02,-6.7770690393e-01,6.1587581757e-01
7,1,3,2.2991871553e+02,2.2832040376e+02,2.2918535839e+02,2.2852630061e+02,6.1587581757e-01,1.5288863202e+00
3,0,11,2.2918535839e+02,2.2852630061e+02,2.2956937782e+02,2.2835002954e+02,1.5288863202e+00,2.2360622554e-01
11,0,3,2.2956937782e+02,2.2835002954e+02,2.2918564234e+02,2.2852697660e+02,2.2360622554e-01,1.5288150553e+00
3,1,7,2.2918564234e+02,2.2852697660e+02,2.2991976090e+02,2.2832137285e+02,1.5288150553e+00,6.1596889163e-01
7,3,6,2.2991976090e+02,2.2832137285e+02,2.2958389233e+02,2.2851740126e+02,6.1596889163e-01,8.0530075005e-01
6,0,14,2.2958389233e+02,2.2851740126e+02,2.2980968865e+02,2.2807876750e+02,8.0530075005e-01,-5.1839163115e-01
14,2,12,2.2980968865e+02,2.2807876750e+02,2.2961399224e+02,2.2880412851e+02,-5.1839163115e-01,6.7623578700e-02
12,0,4,2.2961399224e+02,2.2880412851e+02,2.2942792640e+02,2.2918356386e+02,6.7623578700e-02,1.3729574839e+00
4,0,12,2.2942792640e+02,2.2918356386e+02,2.2961448170e+02,2.2880477999e+02,1.3729574839e+00,6.7700079200e-02
12,1,8,2.2961448170e+02,2.2880477999e+02,2.2938995141e+02,2.2953360885e+02,6.7700079200e-02,9.8060949100e-01
8,1,12,2.2938995141e+02,2.2953360885e+02,2.2961494461e+02,2.2880535216e+02,9.8060949100e-01,6.7818647560e-02
12,1,8,2.2961494461e+02,2.2880535216e+02,2.2939032790e+02,2.2953415440e+02,6.7818647560e-02,9.8072805936e-01
8,1,12,2.2939032790e+02,2.2953415440e+02,2.2961540745e+02,2.2880592440e+02,9.8072805936e-01,6.7937215920e-02
12,0,4,2.2961540745e+02,2.2880592440e+02,2.2942922262e+02,2.2918530138e+02,6.7937215920e-02,1.3732711211e+00
4,2,6,2.2942922262e+02,2.2918530138e+02,2.2979886743e+02,2.2863278518e+02,1.3732711211e+00,8.3233929257e-01
6,3,7,2.2979886743e+02,2.2863278518e+02,2.3013967701e+02,2.2844526564e+02,8.3233929257e-01,6.4292735125e-01
7,2,5,2.3013967701e+02,2.2844526564e+02,2.2948938086e+02,2.2873820858e+02,6.4292735125e-01,1.1741641130e+00
5,2,7,2.2948938086e+02,2.2873820858e+02,2.3013927738e+02,2.2844577177e+02,1.1741641130e+00,6.4295910207e-01
7,1,3,2.3013927738e+02,2.2844577177e+02,2.2940061350e+02,2.2863173382e+02,6.4295910207e-01,1.5559696047e+00
3,0,11,2.2940061350e+02,2.2863173382e+02,2.2978926551e+02,2.2846592662e+02,1.5559696047e+00,2.5068951004e-01
11,0,3,2.2978926551e+02,2.2846592662e+02,2.2940087904e+02,2.2863241725e+02,2.5068951004e-01,1.5558983398e+00
3,0,11,2.2940087904e+02,2.2863241725e+02,2.2978951923e+02,2.2846658236e+02,1.5558983398e+00,2.5061824514e-01
11,3,10,2.2978951923e+02,2.2846658236e+02,2.2951387907e+02,2.2866567704e+02,2.5061824514e-01,4.4109809717e-01
10,2,8,2.2951387907e+02,2.2866567704e+02,2.2919266162e+02,2.2930214258e+02,4.4109809717e-01,9.7237436272e-01
8,3,9,2.2919266162e+02,2.2930214258e+02,2.2939485634e+02,2.2897001865e+02,9.7237436272e-01,7.8306149405e-01
9,3,8,2.2939485634e+02,2.2897001865e+02,2.2919251647e+02,2.2930198770e+02,7.8306149405e-01,9.7243107669e-01
8,2,10,2.2919251647e+02,2.2930198770e+02,2.2951423395e+02,2.2866539308e+02,9.7243107669e-01,4.4118681249e-01
10,3,11,2.2951423395e+02,2.2866539308e+02,2.2978923050e+02,2.2846594250e+02,4.4118681249e-01,2.5066466505e-01
11,1,15,2.2978923050e+02,2.2846594250e+02,2.3023407835e+02,2.2792097078e+02,2.5066466505e-01,-6.7581847422e-01
15,2,13,2.3023407835e+02,2.2792097078e+02,2.2978086835e+02,2.2841419745e+02,-6.7581847422e-01,-1.1185642907e-01
13,2,15,2.2978086835e+02,2.2841419745e+02,2.3023507156e+02,2.2791946390e+02,-1.1185642907e-01,-6.7575279255e-01
15,2,13,2.3023507156e+02,2.2791946390e+02,2.2978182917e+02,2.2841266081e+02,-6.7575279255e-01,-1.1179074740e-01
13,2,15,2.2978182917e+02,2.2841266081e+02,2.3023606487e+02,2.2791795709e+02,-1.1179074740e-01,-6.7568711088e-01
15,0,7,2.3023606487e+02,2.2791795709e+02,2.2999902408e+02,2.2827354211e+02,-6.7568711088e-01,6.1789561062e-01
7,3,6,2.2999902408e+02,2.2827354211e+02,2.2966277844e+02,2.2846892304e+02,6.1789561062e-01,8.0722746904e-01
6,3,7,2.2966277844e+02,2.2846892304e+02,2.2999877211e+02,2.2827290517e+02,8.0722746904e-01,6.1781552772e-01
7,3,6,2.2999877211e+02,2.2827290517e+02,2.2966254211e+02,2.2846831302e+02,6.1781552772e-01,8.0714738614e-01
6,2,4,2.2966254211e+02,2.2846831302e+02,2.2930734365e+02,2.2902956242e+02,8.0714738614e-01,1.3481388195e+00
4,3,5,2.2930734365e+02,2.2902956242e+02,2.2951380975e+02,2.2875976254e+02,1.3481388195e+00,1.1576644878e+00
5,3,4,2.2951380975e+02,2.2875976254e+02,2.2930675936e+02,2.2902926272e+02,1.1576644878e+00,1.3481931697e+00
4,2,6,2.2930675936e+02,2.2902926272e+02,2.2966243341e+02,2.2846765129e+02,1.3481931697e+00,8.0726134116e-01
6,3,7,2.2966243341e+02,2.2846765129e+02,2.2999843372e+02,2.2827164480e+02,8.0726134116e-01,6.1784939984e-01
7,2,5,2.2999843372e+02,2.2827164480e+02,2.2935568769e+02,2.2858080201e+02,6.1784939984e-01,1.1490861616e+00
5,2,7,2.2935568769e+02,2.2858080201e+02,2.2999804690e+02,2.2827216079e+02,1.1490861616e+00,6.1788115066e-01
7,2,5,2.2999804690e+02,2.2827216079e+02,2.2935529106e+02,2.2858129759e+02,6.1788115066e-01,1.1491179124e+00
5,2,7,2.2935529106e+02,2.2858129759e+02,2.2999766007e+02,2.2827267677e+02,1.1491179124e+00,6.1791290148e-01
7,1,3,2.2999766007e+02,2.2827267677e+02,2.2926388503e+02,2.2847707928e+02,6.1791290148e-01,1.5309234041e+00
3,3,2,2.2926388503e+02,2.2847707928e+02,2.2895800656e+02,2.2861071663e+02,1.5309234041e+00,1.7412487472e+00
2,3,3,2.2895800656e+02,2.2861071663e+02,2.2926390939e+02,2.2847654307e+02,1.7412487472e+00,1.5308357939e+00
3,1,7,2.2926390939e+02,2.2847654307e+02,2.2999844193e+02,2.2827242319e+02,1.5308357939e+00,6.1798963017e-01
7,3,6,2.2999844193e+02,2.2827242319e+02,2.2966217792e+02,2.2846777251e+02,6.1798963017e-01,8.0732148859e-01
6,0,14,2.2966217792e+02,2.2846777251e+02,2.2988886015e+02,2.2802959591e+02,8.0732148859e-01,-5.1637089261e-01
14,1,10,2.2988886015e+02,2.2802959591e+02,2.2957969760e+02,2.2876663846e+02,-5.1637089261e-01,4.5159958874e-01
