Statei,Action,Staten,xcmi,ycmi,xcmn,ycmn,thetai,thetan
15,3,14,2.2697515395e+02,2.2621652166e+02,2.2684360691e+02,2.2654201891e+02,-1.1729473078e+00,-9.6273159336e-01
14,1,10,2.2684360691e+02,2.2654201891e+02,2.2688290553e+02,2.2734031010e+02,-9.6273159336e-01,5.2388879899e-03
10,0,2,2.2688290553e+02,2.2734031010e+02,2.2664644522e+02,2.2770821208e+02,5.2388879899e-03,1.3318272136e+00
2,0,10,2.2664644522e+02,2.2770821208e+02,2.2688383269e+02,2.2733950916e+02,1.3318272136e+00,5.2820681899e-03
10,0,2,2.2688383269e+02,2.2733950916e+02,2.2664735649e+02,2.2770740093e+02,5.2820681899e-03,1.3318703938e+00
2,2,0,2.2664735649e+02,2.2770740093e+02,2.2633897211e+02,2.2830416806e+02,1.3318703938e+00,1.8958648669e+00
0,2,2,2.2633897211e+02,2.2830416806e+02,2.2664609022e+02,2.2770927905e+02,1.8958648669e+00,1.3318517784e+00
2,0,10,2.2664609022e+02,2.2770927905e+02,2.2688348675e+02,2.2734058196e+02,1.3318517784e+00,5.3066330399e-03
10,2,8,2.2688348675e+02,2.2734058196e+02,2.2686096143e+02,2.2805315591e+02,5.3066330399e-03,5.3658289859e-01
8,3,9,2.2686096143e+02,2.2805315591e+02,2.2690405945e+02,2.2766672148e+02,5.3658289859e-01,3.4727002992e-01
9,2,11,2.2690405945e+02,2.2766672148e+02,2.2727326471e+02,2.2711541568e+02,3.4727002992e-01,-1.9351721089e-01
11,0,3,2.2727326471e+02,2.2711541568e+02,2.2699411839e+02,2.2743265457e+02,-1.9351721089e-01,1.1116916189e+00
3,0,11,2.2699411839e+02,2.2743265457e+02,2.2727377560e+02,2.2711589874e+02,1.1116916189e+00,-1.9358847579e-01
11,2,9,2.2727377560e+02,2.2711589874e+02,2.2690380547e+02,2.2766832402e+02,-1.9358847579e-01,3.4731441799e-01
9,1,13,2.2690380547e+02,2.2766832402e+02,2.2694875236e+02,2.2694568668e+02,3.4731441799e-01,-6.1205546398e-01
13,2,15,2.2694875236e+02,2.2694568668e+02,2.2711003552e+02,2.2629372841e+02,-6.1205546398e-01,-1.1759518275e+00
15,1,11,2.2711003552e+02,2.2629372841e+02,2.2698038301e+02,2.2698444443e+02,-1.1759518275e+00,-2.4937210753e-01
11,3,10,2.2698038301e+02,2.2698444443e+02,2.2683393413e+02,2.2729131398e+02,-2.4937210753e-01,-5.8892255500e-02
10,3,11,2.2683393413e+02,2.2729131398e+02,2.2697962033e+02,2.2698442773e+02,-5.8892255500e-02,-2.4941440294e-01
11,1,15,2.2697962033e+02,2.2698442773e+02,2.2710868302e+02,2.2629288843e+02,-2.4941440294e-01,-1.1758975422e+00
15,1,11,2.2710868302e+02,2.2629288843e+02,2.2697899301e+02,2.2698359741e+02,-1.1758975422e+00,-2.4931782228e-01
11,1,15,2.2697899301e+02,2.2698359741e+02,2.2710812248e+02,2.2629207058e+02,-2.4931782228e-01,-1.1758009616e+00
15,1,11,2.2710812248e+02,2.2629207058e+02,2.2697836577e+02,2.2698276703e+02,-1.1758009616e+00,-2.4922124162e-01
11,3,10,2.2697836577e+02,2.2698276703e+02,2.2683187060e+02,2.2728961448e+02,-2.4922124162e-01,-5.8741389590e-02
10,3,11,2.2683187060e+02,2.2728961448e+02,2.2697760310e+02,2.2698275022e+02,-5.8741389590e-02,-2.4926353703e-01
11,2,9,2.2697760310e+02,2.2698275022e+02,2.2663894664e+02,2.2755490701e+02,-2.4926353703e-01,2.9163935675e-01
9,0,1,2.2663894664e+02,2.2755490701e+02,2.2635217779e+02,2.2795582940e+02,2.9163935675e-01,1.6153829073e+00
1,1,5,2.2635217779e+02,2.2795582940e+02,2.2686803081e+02,2.2734587361e+02,1.6153829073e+00,6.4747139209e-01
5,1,1,2.2686803081e+02,2.2734587361e+02,2.2635129328e+02,2.2795471215e+02,6.4747139209e-01,1.6154833480e+00
1,1,5,2.2635129328e+02,2.2795471215e+02,2.2686720757e+02,2.2734480818e+02,1.6154833480e+00,6.4757183270e-01
5,2,7,2.2686720757e+02,2.2734480818e+02,2.2728208333e+02,2.2676535769e+02,6.4757183270e-01,1.1636682176e-01
