Statei,Action,Staten,xcmi,ycmi,xcmn,ycmn,thetai,thetan
440,2,504,2.2458150358e+02,2.2219757266e+02,2.2373015143e+02,2.2217933212e+02,-1.8349841835e+00,-2.4947322203e+00
504,1,376,2.2373015143e+02,2.2217933212e+02,2.2433910512e+02,2.2217178505e+02,-2.4947322203e+00,-1.7408905366e+00
376,7,378,2.2433910512e+02,2.2217178505e+02,2.2391825084e+02,2.2203290058e+02,-1.7408905366e+00,-1.8686060725e+00
378,0,122,2.2391825084e+02,2.2203290058e+02,2.2412006516e+02,2.2213625593e+02,-1.8686060725e+00,-1.0474033574e+00
122,7,120,2.2412006516e+02,2.2213625593e+02,2.2451989769e+02,2.2230891768e+02,-1.0474033574e+00,-9.2313118945e-01
120,5,112,2.2451989769e+02,2.2230891768e+02,2.2530354689e+02,2.2246832244e+02,-9.2313118945e-01,-6.1455034295e-01
112,7,114,2.2530354689e+02,2.2246832244e+02,2.2484777864e+02,2.2241124500e+02,-6.1455034295e-01,-7.2928460203e-01
114,1,242,2.2484777864e+02,2.2241124500e+02,2.2436336428e+02,2.2222513574e+02,-7.2928460203e-01,-1.4729273465e+00
242,1,114,2.2436336428e+02,2.2222513574e+02,2.2485393480e+02,2.2241091782e+02,-1.4729273465e+00,-7.2906417058e-01
114,2,50,2.2485393480e+02,2.2241091782e+02,2.2528501275e+02,2.2288534019e+02,-7.2906417058e-01,-7.8578884625e-02
50,4,34,2.2528501275e+02,2.2288534019e+02,2.2584966054e+02,2.2341983206e+02,-7.8578884625e-02,3.5811255744e-01
34,1,162,2.2584966054e+02,2.2341983206e+02,2.2560088749e+02,2.2301414429e+02,3.5811255744e-01,-3.8975934751e-01
162,4,178,2.2560088749e+02,2.2301414429e+02,2.2483665645e+02,2.2264969631e+02,-3.8975934751e-01,-8.0831740313e-01
178,5,186,2.2483665645e+02,2.2264969631e+02,2.2415101246e+02,2.2225095639e+02,-8.0831740313e-01,-1.1256085928e+00
186,8,187,2.2415101246e+02,2.2225095639e+02,2.2405577627e+02,2.2210946688e+02,-1.1256085928e+00,-1.1622330554e+00
187,2,251,2.2405577627e+02,2.2210946688e+02,2.2335202251e+02,2.2172607640e+02,-1.1622330554e+00,-1.8103407933e+00
251,1,123,2.2335202251e+02,2.2172607640e+02,2.2382452439e+02,2.2198434322e+02,-1.8103407933e+00,-1.0693133481e+00
123,6,127,2.2382452439e+02,2.2198434322e+02,2.2341276573e+02,2.2131541756e+02,-1.0693133481e+00,-1.2542013691e+00
127,3,95,2.2341276573e+02,2.2131541756e+02,2.2391987358e+02,2.2203230507e+02,-1.2542013691e+00,-7.5427868580e-01
95,0,351,2.2391987358e+02,2.2203230507e+02,2.2379828840e+02,2.2188909828e+02,-7.5427868580e-01,-1.5688772499e+00
351,3,383,2.2379828840e+02,2.2188909828e+02,2.2315739474e+02,2.2131274493e+02,-1.5688772499e+00,-2.0601679288e+00
383,5,375,2.2315739474e+02,2.2131274493e+02,2.2375336897e+02,2.2200008698e+02,-2.0601679288e+00,-1.7812829347e+00
375,1,503,2.2375336897e+02,2.2200008698e+02,2.2324163015e+02,2.2191534283e+02,-1.7812829347e+00,-2.5373819490e+00
503,3,471,2.2324163015e+02,2.2191534283e+02,2.2398100976e+02,2.2215328198e+02,-2.5373819490e+00,-1.9775866141e+00
471,7,469,2.2398100976e+02,2.2215328198e+02,2.2420330950e+02,2.2245608951e+02,-1.9775866141e+00,-1.8653355898e+00
469,1,341,2.2420330950e+02,2.2245608951e+02,2.2469019241e+02,2.2256547232e+02,-1.8653355898e+00,-1.1160977615e+00
341,1,469,2.2469019241e+02,2.2256547232e+02,2.2420400275e+02,2.2245653644e+02,-1.1160977615e+00,-1.8652865389e+00
469,7,471,2.2420400275e+02,2.2245653644e+02,2.2397893524e+02,2.2215528250e+02,-1.8652865389e+00,-1.9777340471e+00
471,4,455,2.2397893524e+02,2.2215528250e+02,2.2451935975e+02,2.2254826583e+02,-1.9777340471e+00,-1.5502397770e+00
455,2,391,2.2451935975e+02,2.2254826583e+02,2.2507299733e+02,2.2290504335e+02,-1.5502397770e+00,-9.0926119813e-01
391,0,135,2.2507299733e+02,2.2290504335e+02,2.2521088633e+02,2.2308460231e+02,-9.0926119813e-01,-8.9148444257e-02
135,3,167,2.2521088633e+02,2.2308460231e+02,2.2476218850e+02,2.2233589760e+02,-8.9148444257e-02,-6.1599551850e-01
167,2,231,2.2476218850e+02,2.2233589760e+02,2.2425472018e+02,2.2196986074e+02,-6.1599551850e-01,-1.2557603866e+00
231,4,247,2.2425472018e+02,2.2196986074e+02,2.2358656502e+02,2.2153346359e+02,-1.2557603866e+00,-1.6844142002e+00
247,0,503,2.2358656502e+02,2.2153346359e+02,2.2334982002e+02,2.2151787405e+02,-1.6844142002e+00,-2.5159950240e+00
503,0,247,2.2334982002e+02,2.2151787405e+02,2.2358688077e+02,2.2152921287e+02,-2.5159950240e+00,-1.6842419182e+00
247,3,215,2.2358688077e+02,2.2152921287e+02,2.2427771676e+02,2.2195974539e+02,-1.6842419182e+00,-1.1467689616e+00
215,8,214,2.2427771676e+02,2.2195974539e+02,2.2435016944e+02,2.2211957357e+02,-1.1467689616e+00,-1.1122383280e+00
214,3,246,2.2435016944e+02,2.2211957357e+02,2.2355248414e+02,2.2174072237e+02,-1.1122383280e+00,-1.6606769318e+00
246,0,502,2.2355248414e+02,2.2174072237e+02,2.2329817370e+02,2.2173288666e+02,-1.6606769318e+00,-2.4942686882e+00
502,4,486,2.2329817370e+02,2.2173288666e+02,2.2407188247e+02,2.2196893375e+02,-2.4942686882e+00,-2.0313355250e+00
486,4,502,2.2407188247e+02,2.2196893375e+02,2.2329865951e+02,2.2172175098e+02,-2.0313355250e+00,-2.4944802531e+00
502,0,246,2.2329865951e+02,2.2172175098e+02,2.2355281187e+02,2.2172750439e+02,-2.4944802531e+00,-1.6608906884e+00
246,2,182,2.2355281187e+02,2.2172750439e+02,2.2423267777e+02,2.2207360052e+02,-1.6608906884e+00,-1.0095838222e+00
182,5,190,2.2423267777e+02,2.2207360052e+02,2.2364421590e+02,2.2133430875e+02,-1.0095838222e+00,-1.3079994154e+00
190,5,182,2.2364421590e+02,2.2133430875e+02,2.2422913154e+02,2.2208385694e+02,-1.3079994154e+00,-1.0097360804e+00
182,8,183,2.2422913154e+02,2.2208385694e+02,2.2415960368e+02,2.2191711863e+02,-1.0097360804e+00,-1.0434154694e+00
183,2,247,2.2415960368e+02,2.2191711863e+02,2.2355571200e+02,2.2154646634e+02,-1.0434154694e+00,-1.6861272386e+00
247,7,245,2.2355571200e+02,2.2154646634e+02,2.2379316874e+02,2.2186046731e+02,-1.6861272386e+00,-1.5719428148e+00
245,3,213,2.2379316874e+02,2.2186046731e+02,2.2463377740e+02,2.2217894442e+02,-1.5719428148e+00,-1.0208046097e+00
213,6,209,2.2463377740e+02,2.2217894442e+02,2.2522830374e+02,2.2240453576e+02,-1.0208046097e+00,-8.1215612973e-01
209,1,81,2.2522830374e+02,2.2240453576e+02,2.2556222836e+02,2.2267346352e+02,-8.1215612973e-01,-7.3742517216e-02
81,0,337,2.2556222836e+02,2.2267346352e+02,2.2543116224e+02,2.2251766121e+02,-7.3742517216e-02,-8.9750683468e-01
337,2,273,2.2543116224e+02,2.2251766121e+02,2.2592350992e+02,2.2297387134e+02,-8.9750683468e-01,-2.5609779897e-01
273,2,337,2.2592350992e+02,2.2297387134e+02,2.2541889771e+02,2.2251441977e+02,-2.5609779897e-01,-8.9782931053e-01
337,5,345,2.2541889771e+02,2.2251441977e+02,2.2469699800e+02,2.2222188304e+02,-8.9782931053e-01,-1.2045295030e+00
345,5,337,2.2469699800e+02,2.2222188304e+02,2.2541915592e+02,2.2250809189e+02,-1.2045295030e+00,-8.9810364413e-01
337,1,465,2.2541915592e+02,2.2250809189e+02,2.2492348873e+02,2.2243715658e+02,-8.9810364413e-01,-1.6356143909e+00
465,2,401,2.2492348873e+02,2.2243715658e+02,2.2560482488e+02,2.2255662663e+02,-1.6356143909e+00,-9.9465046230e-01
401,8,400,2.2560482488e+02,2.2255662663e+02,2.2579622736e+02,2.2256740098e+02,-9.9465046230e-01,-9.6266490060e-01
400,7,402,2.2579622736e+02,2.2256740098e+02,2.2533539147e+02,2.2250628938e+02,-9.6266490060e-01,-1.0655169120e+00
402,3,434,2.2533539147e+02,2.2250628938e+02,2.2460730681e+02,2.2223039810e+02,-1.0655169120e+00,-1.6050440601e+00
434,7,432,2.2460730681e+02,2.2223039810e+02,2.2507736932e+02,2.2225189861e+02,-1.6050440601e+00,-1.4913267141e+00
432,3,400,2.2507736932e+02,2.2225189861e+02,2.2580720623e+02,2.2238644367e+02,-1.4913267141e+00,-9.7552322526e-01
400,1,272,2.2580720623e+02,2.2238644367e+02,2.2615575156e+02,2.2265002735e+02,-9.7552322526e-01,-2.4354079172e-01
272,0,16,2.2615575156e+02,2.2265002735e+02,2.2622461098e+02,2.2286085727e+02,-2.4354079172e-01,5.8408574604e-01
16,1,144,2.2622461098e+02,2.2286085727e+02,2.2602207366e+02,2.2245257809e+02,5.8408574604e-01,-1.6278471421e-01
144,0,400,2.2602207366e+02,2.2245257809e+02,2.2586262548e+02,2.2234673646e+02,-1.6278471421e-01,-9.8034253336e-01
400,8,401,2.2586262548e+02,2.2234673646e+02,2.2567061948e+02,2.2234228882e+02,-9.8034253336e-01,-1.0122361409e+00
401,8,400,2.2567061948e+02,2.2234228882e+02,2.2586218182e+02,2.2234969574e+02,-1.0122361409e+00,-9.8025057922e-01
400,5,408,2.2586218182e+02,2.2234969574e+02,2.2511803754e+02,2.2221492015e+02,-9.8025057922e-01,-1.2751739236e+00
