Statei,Action,Staten,xcmi,ycmi,xcmn,ycmn,thetai,thetan
1,0,5,2.2500000000e+02,2.2500000000e+02,2.2497380697e+02,2.2487024205e+02,0.0000000000e+00,-4.1373005485e-01
5,1,7,2.2497380697e+02,2.2487024205e+02,2.2491530248e+02,2.2469533720e+02,-4.1373005485e-01,-6.6097361337e-01
7,0,3,2.2491530248e+02,2.2469533720e+02,2.2495178182e+02,2.2482164169e+02,-6.6097361337e-01,-2.4787488650e-01
3,1,1,2.2495178182e+02,2.2482164169e+02,2.2496600072e+02,2.2500825422e+02,-2.4787488650e-01,-4.8741240000e-04
1,1,3,2.2496600072e+02,2.2500825422e+02,2.2495185928e+02,2.2482161946e+02,-4.8741240000e-04,-2.4786333406e-01
3,2,2,2.2495185928e+02,2.2482161946e+02,2.2497340265e+02,2.2492467255e+02,-2.4786333406e-01,-1.6116807621e-01
2,0,6,2.2497340265e+02,2.2492467255e+02,2.2492505191e+02,2.2480147364e+02,-1.6116807621e-01,-5.7490790413e-01
6,2,7,2.2492505191e+02,2.2480147364e+02,2.2488858114e+02,2.2470212087e+02,-5.7490790413e-01,-6.6204025062e-01
7,0,3,2.2488858114e+02,2.2470212087e+02,2.2492519517e+02,2.2482838637e+02,-6.6204025062e-01,-2.4894152375e-01
3,0,7,2.2492519517e+02,2.2482838637e+02,2.2488862428e+02,2.2470182246e+02,-2.4894152375e-01,-6.6191224174e-01
7,0,3,2.2488862428e+02,2.2470182246e+02,2.2492522216e+02,2.2482809265e+02,-6.6191224174e-01,-2.4881351487e-01
3,2,2,2.2492522216e+02,2.2482809265e+02,2.2494686344e+02,2.2493112522e+02,-2.4881351487e-01,-1.6211825702e-01
2,1,0,2.2494686344e+02,2.2493112522e+02,2.2499316033e+02,2.2510989967e+02,-1.6211825702e-01,8.5225533071e-02
0,2,1,2.2499316033e+02,2.2510989967e+02,2.2496925807e+02,2.2500664039e+02,8.5225533071e-02,-1.9695765680e-03
1,2,0,2.2496925807e+02,2.2500664039e+02,2.2499290419e+02,2.2510969133e+02,-1.9695765680e-03,8.5144172754e-02
0,0,4,2.2499290419e+02,2.2510969133e+02,2.2495466981e+02,2.2498355805e+02,8.5144172754e-02,-3.2788237196e-01
4,1,6,2.2495466981e+02,2.2498355805e+02,2.2486504993e+02,2.2481958883e+02,-3.2788237196e-01,-5.7530619836e-01
6,1,4,2.2486504993e+02,2.2481958883e+02,2.2495479770e+02,2.2498392500e+02,-5.7530619836e-01,-3.2795650603e-01
4,1,6,2.2495479770e+02,2.2498392500e+02,2.2486516566e+02,2.2481996242e+02,-3.2795650603e-01,-5.7538033243e-01
6,1,4,2.2486516566e+02,2.2481996242e+02,2.2495492562e+02,2.2498429194e+02,-5.7538033243e-01,-3.2803064010e-01
4,0,0,2.2495492562e+02,2.2498429194e+02,2.2499327199e+02,2.2511006000e+02,-3.2803064010e-01,8.5020449084e-02
0,1,2,2.2499327199e+02,2.2511006000e+02,2.2494686731e+02,2.2493127131e+02,8.5020449084e-02,-1.6231342795e-01
2,0,6,2.2494686731e+02,2.2493127131e+02,2.2489837551e+02,2.2480812786e+02,-1.6231342795e-01,-5.7605325587e-01
6,0,2,2.2489837551e+02,2.2480812786e+02,2.2494712060e+02,2.2493123105e+02,-5.7605325587e-01,-1.6235462475e-01
2,1,0,2.2494712060e+02,2.2493123105e+02,2.2499345975e+02,2.2510999455e+02,-1.6235462475e-01,8.4989165344e-02
0,2,1,2.2499345975e+02,2.2510999455e+02,2.2496953308e+02,2.2500674092e+02,8.4989165344e-02,-2.2059442950e-03
1,0,5,2.2496953308e+02,2.2500674092e+02,2.2494305388e+02,2.2487704107e+02,-2.2059442950e-03,-4.1593599915e-01
5,2,4,2.2494305388e+02,2.2487704107e+02,2.2498111706e+02,2.2497517019e+02,-4.1593599915e-01,-3.2924527938e-01
4,0,0,2.2498111706e+02,2.2497517019e+02,2.2501961617e+02,2.2510089159e+02,-3.2924527938e-01,8.3805809805e-02
0,1,2,2.2501961617e+02,2.2510089159e+02,2.2497299436e+02,2.2492215939e+02,8.3805809805e-02,-1.6352806723e-01
2,1,0,2.2497299436e+02,2.2492215939e+02,2.2501954324e+02,2.2510086839e+02,-1.6352806723e-01,8.3815722865e-02
0,2,1,2.2501954324e+02,2.2510086839e+02,2.2499549543e+02,2.2499764291e+02,8.3815722865e-02,-3.3793867740e-03
1,0,5,2.2499549543e+02,2.2499764291e+02,2.2496886404e+02,2.2486797422e+02,-3.3793867740e-03,-4.1710944162e-01
5,1,7,2.2496886404e+02,2.2486797422e+02,2.2490976882e+02,2.2469326808e+02,-4.1710944162e-01,-6.6435300014e-01
7,1,5,2.2490976882e+02,2.2469326808e+02,2.2496871031e+02,2.2486790331e+02,-6.6435300014e-01,-4.1698242289e-01
5,1,7,2.2496871031e+02,2.2486790331e+02,2.2490963728e+02,2.2469318966e+02,-4.1698242289e-01,-6.6422598141e-01
7,0,3,2.2490963728e+02,2.2469318966e+02,2.2494652722e+02,2.2481937484e+02,-6.6422598141e-01,-2.5112725454e-01
3,2,2,2.2494652722e+02,2.2481937484e+02,2.2496840683e+02,2.2492235707e+02,-2.5112725454e-01,-1.6443199669e-01
2,0,6,2.2496840683e+02,2.2492235707e+02,2.2491965424e+02,2.2479931663e+02,-1.6443199669e-01,-5.7817182461e-01
6,2,7,2.2491965424e+02,2.2479931663e+02,2.2488285938e+02,2.2470008342e+02,-5.7817182461e-01,-6.6530417110e-01
7,2,6,2.2488285938e+02,2.2470008342e+02,2.2491942280e+02,2.2479937376e+02,-6.6530417110e-01,-5.7811219354e-01
6,0,2,2.2491942280e+02,2.2479937376e+02,2.2496842126e+02,2.2492237632e+02,-5.7811219354e-01,-1.6441356242e-01
2,2,3,2.2496842126e+02,2.2492237632e+02,2.2494638294e+02,2.2481920918e+02,-1.6441356242e-01,-2.5117791458e-01
3,0,7,2.2494638294e+02,2.2481920918e+02,2.2490952910e+02,2.2469272736e+02,-2.5117791458e-01,-6.6414863257e-01
7,0,3,2.2490952910e+02,2.2469272736e+02,2.2494640927e+02,2.2481891539e+02,-6.6414863257e-01,-2.5104990570e-01
3,0,7,2.2494640927e+02,2.2481891539e+02,2.2490957162e+02,2.2469242886e+02,-2.5104990570e-01,-6.6402062369e-01
7,1,5,2.2490957162e+02,2.2469242886e+02,2.2496845506e+02,2.2486708368e+02,-6.6402062369e-01,-4.1665004644e-01
5,1,7,2.2496845506e+02,2.2486708368e+02,2.2490944010e+02,2.2469235041e+02,-4.1665004644e-01,-6.6389360496e-01
7,2,6,2.2490944010e+02,2.2469235041e+02,2.2494586343e+02,2.2479169222e+02,-6.6389360496e-01,-5.7670162740e-01
6,0,2,2.2494586343e+02,2.2479169222e+02,2.2499468833e+02,2.2491476378e+02,-5.7670162740e-01,-1.6300299628e-01
2,0,6,2.2499468833e+02,2.2491476378e+02,2.2494611162e+02,2.2479165380e+02,-1.6300299628e-01,-5.7674282420e-01
6,1,4,2.2494611162e+02,2.2479165380e+02,2.2503609539e+02,2.2495586087e+02,-5.7674282420e-01,-3.2939313187e-01
4,0,0,2.2503609539e+02,2.2495586087e+02,2.2507461309e+02,2.2508157657e+02,-3.2939313187e-01,8.3657957307e-02
0,1,2,2.2507461309e+02,2.2508157657e+02,2.2502796485e+02,2.2490285127e+02,8.3657957307e-02,-1.6367591972e-01
2,2,3,2.2502796485e+02,2.2490285127e+02,2.2500600265e+02,2.2479966790e+02,-1.6367591972e-01,-2.5044027189e-01
3,2,2,2.2500600265e+02,2.2479966790e+02,2.2502781151e+02,2.2490266513e+02,-2.5044027189e-01,-1.6374501404e-01
2,0,6,2.2502781151e+02,2.2490266513e+02,2.2497914346e+02,2.2477959123e+02,-1.6374501404e-01,-5.7748484196e-01
6,1,4,2.2497914346e+02,2.2477959123e+02,2.2506924905e+02,2.2494373148e+02,-5.7748484196e-01,-3.3013514963e-01
4,1,6,2.2506924905e+02,2.2494373148e+02,2.2497926001e+02,2.2477996456e+02,-3.3013514963e-01,-5.7755897603e-01
6,1,4,2.2497926001e+02,2.2477996456e+02,2.2506937776e+02,2.2494409814e+02,-5.7755897603e-01,-3.3020928370e-01
4,1,6,2.2506937776e+02,2.2494409814e+02,2.2497937658e+02,2.2478033789e+02,-3.3020928370e-01,-5.7763311010e-01
6,2,7,2.2497937658e+02,2.2478033789e+02,2.2494263518e+02,2.2468108488e+02,-5.7763311010e-01,-6.6476545658e-01
7,2,6,2.2494263518e+02,2.2468108488e+02,2.2497914511e+02,2.2478039490e+02,-6.6476545658e-01,-5.7757347902e-01
6,2,7,2.2497914511e+02,2.2478039490e+02,2.2494240963e+02,2.2468113970e+02,-5.7757347902e-01,-6.6470582551e-01
7,0,3,2.2494240963e+02,2.2468113970e+02,2.2497936010e+02,2.2480730716e+02,-6.6470582551e-01,-2.5160709864e-01
3,2,2,2.2497936010e+02,2.2480730716e+02,2.2500128913e+02,2.2491027888e+02,-2.5160709864e-01,-1.6491184079e-01
2,1,0,2.2500128913e+02,2.2491027888e+02,2.2504808526e+02,2.2508892329e+02,-1.6491184079e-01,8.2431949298e-02
0,0,4,2.2504808526e+02,2.2508892329e+02,2.2500950892e+02,2.2496289418e+02,8.2431949298e-02,-3.3059459541e-01
4,1,6,2.2500950892e+02,2.2496289418e+02,2.2491944465e+02,2.2479916862e+02,-3.3059459541e-01,-5.7801842181e-01
6,2,7,2.2491944465e+02,2.2479916862e+02,2.2488266501e+02,2.2469992978e+02,-5.7801842181e-01,-6.6515076830e-01
7,0,3,2.2488266501e+02,2.2469992978e+02,2.2491967162e+02,2.2482608078e+02,-6.6515076830e-01,-2.5205204143e-01
3,0,7,2.2491967162e+02,2.2482608078e+02,2.2488270723e+02,2.2469963123e+02,-2.5205204143e-01,-6.6502275942e-01
7,2,6,2.2488270723e+02,2.2469963123e+02,2.2491924270e+02,2.2479893186e+02,-6.6502275942e-01,-5.7783078186e-01
6,0,2,2.2491924270e+02,2.2479893186e+02,2.2496820654e+02,2.2492194820e+02,-5.7783078186e-01,-1.6413215074e-01
2,0,6,2.2496820654e+02,2.2492194820e+02,2.2491949085e+02,2.2479889315e+02,-1.6413215074e-01,-5.7787197866e-01
6,0,2,2.2491949085e+02,2.2479889315e+02,2.2496845976e+02,2.2492190748e+02,-5.7787197866e-01,-1.6417334754e-01
2,0,6,2.2496845976e+02,2.2492190748e+02,2.2491973900e+02,2.2479885443e+02,-1.6417334754e-01,-5.7791317546e-01
6,0,2,2.2491973900e+02,2.2479885443e+02,2.2496871297e+02,2.2492186674e+02,-5.7791317546e-01,-1.6421454434e-01
2,0,6,2.2496871297e+02,2.2492186674e+02,2.2491998714e+02,2.2479881571e+02,-1.6421454434e-01,-5.7795437226e-01
6,2,7,2.2491998714e+02,2.2479881571e+02,2.2488321386e+02,2.2469957450e+02,-5.7795437226e-01,-6.6508671875e-01
7,0,3,2.2488321386e+02,2.2469957450e+02,2.2492021239e+02,2.2482572788e+02,-6.6508671875e-01,-2.5198799188e-01
3,2,2,2.2492021239e+02,2.2482572788e+02,2.2494218064e+02,2.2492869123e+02,-2.5198799188e-01,-1.6529273403e-01
2,1,0,2.2494218064e+02,2.2492869123e+02,2.2498904481e+02,2.2510731781e+02,-1.6529273403e-01,8.2051056061e-02
0,1,2,2.2498904481e+02,2.2510731781e+02,2.2494210944e+02,2.2492866770e+02,8.2051056061e-02,-1.6528282097e-01
2,1,0,2.2494210944e+02,2.2492866770e+02,2.2498897185e+02,2.2510729474e+02,-1.6528282097e-01,8.2060969121e-02
0,0,4,2.2498897185e+02,2.2510729474e+02,2.2495034876e+02,2.2498127995e+02,8.2060969121e-02,-3.3096557559e-01
4,1,6,2.2495034876e+02,2.2498127995e+02,2.2486022375e+02,2.2481758782e+02,-3.3096557559e-01,-5.7838940199e-01
6,1,4,2.2486022375e+02,2.2481758782e+02,2.2495047778e+02,2.2498164650e+02,-5.7838940199e-01,-3.3103970966e-01
4,1,6,2.2495047778e+02,2.2498164650e+02,2.2486034063e+02,2.2481796105e+02,-3.3103970966e-01,-5.7846353606e-01
6,0,2,2.2486034063e+02,2.2481796105e+02,2.2490938230e+02,2.2494094639e+02,-5.7846353606e-01,-1.6476490494e-01
2,1,0,2.2490938230e+02,2.2494094639e+02,2.2495615218e+02,2.2511959767e+02,-1.6476490494e-01,8.2578885151e-02
0,2,1,2.2495615218e+02,2.2511959767e+02,2.2493197672e+02,2.2501640202e+02,8.2578885151e-02,-4.6162244880e-03
1,0,5,2.2493197672e+02,2.2501640202e+02,2.2490518497e+02,2.2488676637e+02,-4.6162244880e-03,-4.1834627934e-01
5,1,7,2.2490518497e+02,2.2488676637e+02,2.2484587372e+02,2.2471213344e+02,-4.1834627934e-01,-6.6558983786e-01
7,2,6,2.2484587372e+02,2.2471213344e+02,2.2488246550e+02,2.2481141334e+02,-6.6558983786e-01,-5.7839786030e-01
6,0,2,2.2488246550e+02,2.2481141334e+02,2.2493149909e+02,2.2493440189e+02,-5.7839786030e-01,-1.6469922918e-01
2,2,3,2.2493149909e+02,2.2493440189e+02,2.2490943130e+02,2.2483124105e+02,-1.6469922918e-01,-2.5146358134e-01
3,0,7,2.2490943130e+02,2.2483124105e+02,2.2487254133e+02,2.2470476977e+02,-2.5146358134e-01,-6.6443429933e-01
7,1,5,2.2487254133e+02,2.2470476977e+02,2.2493149701e+02,2.2487940021e+02,-6.6443429933e-01,-4.1706372208e-01
5,2,4,2.2493149701e+02,2.2487940021e+02,2.2496967084e+02,2.2497748635e+02,-4.1706372208e-01,-3.3037300231e-01
4,2,5,2.2496967084e+02,2.2497748635e+02,2.2493132023e+02,2.2487955174e+02,-3.3037300231e-01,-4.1708029857e-01
5,1,7,2.2493132023e+02,2.2487955174e+02,2.2487223011e+02,2.2470484387e+02,-4.1708029857e-01,-6.6432385709e-01
7,0,3,2.2487223011e+02,2.2470484387e+02,2.2490913239e+02,2.2483102544e+02,-6.6432385709e-01,-2.5122513022e-01
3,1,1,2.2490913239e+02,2.2483102544e+02,2.2492397641e+02,2.2501758928e+02,-2.5122513022e-01,-3.8376561150e-03
1,1,3,2.2492397641e+02,2.2501758928e+02,2.2490920977e+02,2.2483100295e+02,-3.8376561150e-03,-2.5121357778e-01
3,0,7,2.2490920977e+02,2.2483100295e+02,2.2487235141e+02,2.2470452245e+02,-2.5121357778e-01,-6.6418429577e-01
7,2,6,2.2487235141e+02,2.2470452245e+02,2.2490880362e+02,2.2480385367e+02,-6.6418429577e-01,-5.7699231820e-01
6,2,7,2.2490880362e+02,2.2480385367e+02,2.2487212583e+02,2.2470457714e+02,-5.7699231820e-01,-6.6412466469e-01
7,2,6,2.2487212583e+02,2.2470457714e+02,2.2490857211e+02,2.2480391054e+02,-6.6412466469e-01,-5.7693268713e-01
6,2,7,2.2490857211e+02,2.2480391054e+02,2.2487190024e+02,2.2470463181e+02,-5.7693268713e-01,-6.6406503362e-01
7,1,5,2.2487190024e+02,2.2470463181e+02,2.2493079143e+02,2.2487928402e+02,-6.6406503362e-01,-4.1669445637e-01
5,2,4,2.2493079143e+02,2.2487928402e+02,2.2496892903e+02,2.2497738424e+02,-4.1669445637e-01,-3.3000373660e-01
4,2,5,2.2496892903e+02,2.2497738424e+02,2.2493061459e+02,2.2487943548e+02,-3.3000373660e-01,-4.1671103286e-01
5,2,4,2.2493061459e+02,2.2487943548e+02,2.2496875382e+02,2.2497753507e+02,-4.1671103286e-01,-3.3002031309e-01
4,2,5,2.2496875382e+02,2.2497753507e+02,2.2493043776e+02,2.2487958694e+02,-3.3002031309e-01,-4.1672760934e-01
5,2,4,2.2493043776e+02,2.2487958694e+02,2.2496857861e+02,2.2497768591e+02,-4.1672760934e-01,-3.3003688957e-01
4,0,0,2.2496857861e+02,2.2497768591e+02,2.2500717723e+02,2.2510337679e+02,-3.3003688957e-01,8.3014199607e-02
0,1,2,2.2500717723e+02,2.2510337679e+02,2.2496041395e+02,2.2492468155e+02,8.3014199607e-02,-1.6431967742e-01
2,2,3,2.2496041395e+02,2.2492468155e+02,2.2493838532e+02,2.2482151234e+02,-1.6431967742e-01,-2.5108402959e-01
3,2,2,2.2493838532e+02,2.2482151234e+02,2.2496026048e+02,2.2492449551e+02,-2.5108402959e-01,-1.6438877174e-01
2,1,0,2.2496026048e+02,2.2492449551e+02,2.2500696317e+02,2.2510316438e+02,-1.6438877174e-01,8.2955018355e-02
0,2,1,2.2500696317e+02,2.2510316438e+02,2.2498282651e+02,2.2499995964e+02,8.2955018355e-02,-4.2400912840e-03
1,1,3,2.2498282651e+02,2.2499995964e+02,2.2496798479e+02,2.2481337926e+02,-4.2400912840e-03,-2.5161601294e-01
3,0,7,2.2496798479e+02,2.2481337926e+02,2.2493107554e+02,2.2468691360e+02,-2.5161601294e-01,-6.6458673093e-01
